Age,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,MaritalStatus_Single,OverTime_No,OverTime_Yes,CompensationSatisfaction,ExperienceRatio,CommuteSatisfactionRatio,StagnationScore,SatisfactionIndex,JobSatisfaction_WorkLifeBalance,PCA1,PCA2,Attrition
41.0,2.0,3.0,2.0,4.0,7.0,8.0,6.0,4.0,1.0,0.0,1.0,0.5833333333333334,0.1951219512195122,0.25,0.1292307692307692,0.5,4.0,-0.772377039516532,-0.3735526095714727,1
49.0,3.0,2.0,2.0,2.0,6.0,10.0,10.0,7.0,0.0,1.0,0.0,0.3,0.20408163265306123,4.0,0.2246153846153846,0.5199999999999999,6.0,0.37511419209389424,0.6402169553100715,0
37.0,4.0,2.0,1.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1891891891891892,0.6666666666666666,0.0,0.66,9.0,-3.036087953040404,-0.9412674732169487,1
33.0,4.0,3.0,1.0,3.0,3.0,8.0,8.0,7.0,0.0,0.0,1.0,0.375,0.24242424242424243,1.0,0.2,0.66,9.0,-0.3613176413926786,-1.0231447972283507,0
27.0,1.0,3.0,1.0,2.0,4.0,6.0,2.0,2.0,0.0,1.0,0.0,2.0,0.2222222222222222,1.0,0.06153846153846154,0.4,6.0,-2.0070852067582687,0.5052958986461475,0
32.0,4.0,3.0,1.0,4.0,3.0,8.0,7.0,7.0,1.0,1.0,0.0,0.42857142857142855,0.25,0.5,0.17846153846153842,0.6799999999999999,8.0,-0.5015799352169037,-1.4136328967189968,0
59.0,3.0,4.0,1.0,1.0,2.0,12.0,1.0,0.0,0.0,0.0,1.0,2.0,0.2033898305084746,3.0,0.021538461538461538,0.38,2.0,-2.410157300970388,2.7568303667823804,0
30.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.03333333333333333,8.0,0.021538461538461538,0.66,9.0,-3.8640465913771935,-0.1886906054342886,0
38.0,4.0,2.0,3.0,3.0,8.0,10.0,9.0,7.0,1.0,1.0,0.0,0.2962962962962963,0.2631578947368421,7.666666666666667,0.20307692307692307,0.66,9.0,0.8117314492560355,-0.30799483889557977,0
36.0,3.0,3.0,2.0,3.0,6.0,17.0,7.0,7.0,0.0,1.0,0.0,0.42857142857142855,0.4722222222222222,9.0,0.2153846153846154,0.54,6.0,1.8779824807347751,0.882181184748255,0
35.0,1.0,4.0,1.0,2.0,2.0,6.0,5.0,4.0,0.0,1.0,0.0,0.4,0.17142857142857143,8.0,0.1076923076923077,0.4,6.0,-1.8453762221416663,1.1203781044863756,0
29.0,4.0,2.0,2.0,3.0,4.0,10.0,9.0,5.0,1.0,0.0,1.0,0.2222222222222222,0.3448275862068966,5.0,0.19384615384615383,0.66,9.0,0.20241550932918972,-0.6025571642291333,0
31.0,1.0,3.0,1.0,3.0,3.0,5.0,5.0,2.0,0.0,1.0,0.0,0.6,0.16129032258064516,8.666666666666666,0.14461538461538462,0.42000000000000004,6.0,-1.3097100812451272,0.8340672976675567,0
34.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.08823529411764706,4.75,0.052307692307692305,0.62,12.0,-2.8558288419353586,-1.844233473968407,0
28.0,3.0,2.0,1.0,3.0,1.0,6.0,4.0,2.0,1.0,0.0,1.0,0.25,0.21428571428571427,8.0,0.08615384615384615,0.6,9.0,-2.0307976873745908,-0.2062505964674434,1
29.0,2.0,4.0,3.0,1.0,9.0,10.0,10.0,9.0,0.0,1.0,0.0,0.3,0.3448275862068966,21.0,0.28923076923076924,0.38,3.0,2.450951004224795,3.427946998005049,0
32.0,1.0,4.0,1.0,2.0,3.0,7.0,6.0,2.0,0.0,0.0,1.0,0.5,0.21875,2.5,0.1292307692307692,0.34,4.0,-1.5978766455000504,1.3459958799016565,0
22.0,4.0,4.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.045454545454545456,4.0,0.021538461538461538,0.6799999999999999,8.0,-4.036761479449533,-0.9145864549595669,0
53.0,1.0,2.0,4.0,4.0,10.0,31.0,25.0,8.0,0.0,1.0,0.0,0.1,0.5849056603773585,0.5,0.5661538461538461,0.5599999999999999,12.0,5.644846806586446,-2.460394929530867,0
38.0,4.0,3.0,1.0,4.0,4.0,6.0,3.0,2.0,1.0,0.0,1.0,1.3333333333333333,0.15789473684210525,0.5,0.07384615384615383,0.74,12.0,-2.141648806435133,-2.3819681790827096,0
24.0,1.0,4.0,2.0,3.0,4.0,5.0,4.0,2.0,0.0,1.0,0.0,0.5,0.20833333333333334,3.6666666666666665,0.09538461538461537,0.42000000000000004,6.0,-1.255940392478881,0.25627858761086114,0
36.0,3.0,2.0,1.0,1.0,4.0,10.0,5.0,3.0,1.0,1.0,0.0,0.8,0.2777777777777778,9.0,0.1076923076923077,0.43999999999999995,3.0,-1.1655046322329627,2.468358902752394,1
34.0,1.0,3.0,3.0,2.0,9.0,13.0,12.0,6.0,1.0,1.0,0.0,0.25,0.38235294117647056,3.5,0.2769230769230769,0.4,6.0,1.8881368963335403,0.6188402960289708,0
21.0,3.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.75,0.0,0.6799999999999999,12.0,-4.46472061735743,-1.9484096677069247,0
34.0,2.0,3.0,1.0,1.0,3.0,8.0,4.0,2.0,1.0,1.0,0.0,0.75,0.23529411764705882,6.0,0.09538461538461537,0.38,3.0,-1.6062373150099623,2.262943141049283,1
53.0,3.0,3.0,5.0,3.0,10.0,26.0,14.0,13.0,0.0,1.0,0.0,0.14285714285714285,0.49056603773584906,1.6666666666666667,0.3384615384615384,0.54,6.0,4.590507363331457,-0.013796558474113105,0
32.0,2.0,1.0,1.0,1.0,4.0,10.0,10.0,2.0,1.0,0.0,1.0,0.4,0.3125,16.0,0.2707692307692308,0.38,3.0,0.7395128585202791,3.0520081856336776,1
42.0,3.0,3.0,2.0,2.0,7.0,10.0,9.0,7.0,0.0,1.0,0.0,0.3888888888888889,0.23809523809523808,4.0,0.23076923076923078,0.5199999999999999,6.0,0.7186882936321628,0.6769947335227834,0
44.0,1.0,2.0,3.0,4.0,9.0,24.0,22.0,6.0,0.0,1.0,0.0,0.13636363636363635,0.5454545454545454,1.75,0.5199999999999999,0.5599999999999999,12.0,4.5381539337519525,-2.2955821109825414,0
46.0,2.0,3.0,5.0,1.0,10.0,22.0,2.0,2.0,1.0,1.0,0.0,1.0,0.4782608695652174,2.0,0.06153846153846154,0.32,2.0,1.6738874934290333,2.621458309162943,0
33.0,3.0,3.0,1.0,4.0,2.0,7.0,1.0,1.0,1.0,1.0,0.0,2.0,0.21212121212121213,0.5,0.021538461538461538,0.6799999999999999,12.0,-2.910715363609593,-2.3295417536927703,0
44.0,4.0,3.0,2.0,4.0,7.0,9.0,4.0,2.0,0.0,0.0,1.0,0.875,0.20454545454545456,2.5,0.09538461538461537,0.8,16.0,-0.919600753613141,-3.172716182595398,0
30.0,4.0,2.0,1.0,3.0,1.0,10.0,10.0,0.0,1.0,1.0,0.0,0.1,0.3333333333333333,3.0,0.2246153846153846,0.66,9.0,-0.497880200908823,-0.7771144558924207,0
39.0,4.0,3.0,2.0,4.0,1.0,19.0,1.0,0.0,0.0,1.0,0.0,0.5,0.48717948717948717,1.25,0.021538461538461538,0.8,16.0,-0.7585796398229804,-3.2597344460190834,1
24.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,0.5,0.25,0.25,0.06153846153846154,0.56,8.0,-1.7319193116048521,-1.3070386950122659,1
43.0,4.0,4.0,1.0,3.0,2.0,6.0,5.0,3.0,0.0,1.0,0.0,0.4,0.13953488372093023,0.6666666666666666,0.11692307692307692,0.6000000000000001,6.0,-1.8271811033440364,-0.08585606698694905,0
50.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,0.6666666666666666,0.06,1.0,0.0646153846153846,0.4800000000000001,9.0,-2.598610264887191,-0.9767498508279355,1
35.0,4.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.5,0.05714285714285714,0.5,0.06153846153846154,0.74,12.0,-2.7867369400048663,-2.4242010041090314,0
36.0,2.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,4.0,0.16666666666666666,5.0,0.021538461538461538,0.44000000000000006,4.0,-3.3298735055633664,1.6096304872091787,0
33.0,3.0,4.0,2.0,1.0,6.0,10.0,5.0,3.0,0.0,1.0,0.0,0.6,0.30303030303030304,1.0,0.11692307692307692,0.43999999999999995,3.0,-0.45546191512502904,1.840640800230116,0
35.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.02857142857142857,1.0,0.021538461538461538,0.6799999999999999,12.0,-3.7141172558136284,-2.3600019581754217,0
27.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.037037037037037035,2.0,0.021538461538461538,0.5,3.0,-3.9168654853473885,1.8686710479037132,0
26.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.038461538461538464,8.333333333333334,0.021538461538461538,0.42000000000000004,6.0,-3.77960593275846,0.7151869312216077,1
27.0,4.0,3.0,3.0,3.0,8.0,9.0,9.0,8.0,1.0,1.0,0.0,0.2962962962962963,0.3333333333333333,2.6666666666666665,0.20307692307692307,0.66,9.0,1.233360834366386,-0.8784248035335801,0
30.0,3.0,3.0,2.0,4.0,4.0,12.0,12.0,8.0,1.0,1.0,0.0,0.16666666666666666,0.4,0.25,0.28615384615384615,0.6799999999999999,12.0,1.463548870586953,-2.5059059430105877,0
41.0,2.0,3.0,5.0,3.0,10.0,23.0,22.0,15.0,0.0,1.0,0.0,0.09090909090909091,0.5609756097560976,4.0,0.6123076923076922,0.54,9.0,7.012230110439456,-0.6970365437317587,1
34.0,2.0,3.0,2.0,3.0,5.0,10.0,9.0,5.0,1.0,1.0,0.0,0.2777777777777778,0.29411764705882354,7.666666666666667,0.2676923076923077,0.54,9.0,1.0987304268430682,-0.2011384026629756,0
37.0,2.0,3.0,1.0,2.0,3.0,8.0,1.0,0.0,0.0,1.0,0.0,3.0,0.21621621621621623,9.5,0.021538461538461538,0.45999999999999996,6.0,-2.981048153172853,1.3766242737653602,0
46.0,1.0,3.0,2.0,4.0,7.0,14.0,9.0,6.0,1.0,0.0,1.0,0.3888888888888889,0.30434782608695654,1.25,0.19384615384615383,0.5599999999999999,12.0,0.549982390511552,-2.3080623504597626,0
35.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.02857142857142857,2.0,0.021538461538461538,0.74,12.0,-3.7137957613111143,-2.21810644095929,0
48.0,1.0,2.0,3.0,3.0,6.0,23.0,1.0,0.0,1.0,0.0,1.0,2.0,0.4791666666666667,0.3333333333333333,0.021538461538461538,0.4800000000000001,9.0,-0.1284304848787454,-0.9067434372107309,1
28.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.07142857142857142,1.6666666666666667,0.06153846153846154,0.54,6.0,-2.8310906044872275,0.016490223373837536,1
44.0,2.0,3.0,2.0,1.0,6.0,9.0,4.0,3.0,0.0,0.0,1.0,0.75,0.20454545454545456,1.0,0.09538461538461537,0.32,2.0,-0.9583622259427639,2.4729692184810617,0
35.0,3.0,2.0,3.0,1.0,9.0,10.0,4.0,0.0,0.0,0.0,1.0,0.75,0.2857142857142857,11.0,0.10461538461538461,0.43999999999999995,3.0,0.03916317906991338,2.6817195734806303,0
26.0,3.0,2.0,2.0,4.0,4.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.19230769230769232,5.75,0.043076923076923075,0.62,8.0,-2.0258869820548755,-0.7069952816488465,0
33.0,1.0,3.0,3.0,4.0,9.0,15.0,15.0,14.0,1.0,0.0,1.0,0.2,0.45454545454545453,0.25,0.39692307692307693,0.5599999999999999,12.0,3.940211373051528,-2.5196290369074466,0
35.0,2.0,3.0,3.0,1.0,8.0,9.0,9.0,8.0,0.0,1.0,0.0,0.2962962962962963,0.2571428571428571,18.0,0.20307692307692307,0.32,2.0,0.8208642988215443,3.7686930211044825,0
35.0,3.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,0.11428571428571428,23.0,0.06153846153846154,0.43999999999999995,3.0,-2.4754256561037282,3.6924331454828456,0
31.0,4.0,3.0,2.0,4.0,7.0,10.0,7.0,7.0,0.0,1.0,0.0,0.5,0.3225806451612903,1.75,0.15999999999999998,0.6799999999999999,8.0,0.33279749898893124,-1.2514248457876678,0
37.0,1.0,2.0,2.0,3.0,7.0,7.0,7.0,5.0,0.0,1.0,0.0,0.5,0.1891891891891892,0.3333333333333333,0.15076923076923077,0.54,12.0,-0.5717353819224696,-2.0082332071997535,0
32.0,1.0,3.0,2.0,4.0,7.0,9.0,9.0,8.0,0.0,0.0,1.0,0.3888888888888889,0.28125,0.25,0.25846153846153846,0.5599999999999999,12.0,1.2127057344383776,-2.4723837942586147,0
38.0,4.0,3.0,2.0,4.0,2.0,10.0,10.0,3.0,1.0,1.0,0.0,0.1,0.2631578947368421,7.25,0.29846153846153844,0.74,12.0,0.9574033545662682,-1.5195444686341504,0
50.0,2.0,2.0,5.0,3.0,10.0,29.0,27.0,3.0,0.0,0.0,1.0,0.07407407407407407,0.58,2.3333333333333335,0.7015384615384614,0.4800000000000001,6.0,7.238139491067237,0.13425148722239863,0
59.0,1.0,3.0,3.0,1.0,8.0,28.0,21.0,16.0,1.0,1.0,0.0,0.12698412698412698,0.4745762711864407,25.0,0.5169230769230769,0.25999999999999995,2.0,5.4201092287235495,4.397334814863925,0
36.0,3.0,3.0,3.0,3.0,9.0,17.0,17.0,14.0,0.0,1.0,0.0,0.17647058823529413,0.4722222222222222,2.6666666666666665,0.4769230769230769,0.6,9.0,4.786115035074048,-0.8539131646140944,0
55.0,4.0,3.0,4.0,3.0,10.0,21.0,5.0,0.0,0.0,0.0,1.0,0.5,0.38181818181818183,2.6666666666666665,0.1076923076923077,0.66,9.0,1.1007449371121636,-0.7140100472003276,0
