Age,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Department_Human Resources,Department_Other,Department_Sales,Gender_Female,Gender_Male,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,StagnationScore,TenureRatio,PCA1,PCA2,PCA3,Attrition
41,1,1,2,3,2,4,7,3,8,1,6,4,0,False,False,True,True,False,False,False,True,False,True,0.0,0.75,-0.31007831475789627,0.6450584842380552,-0.8261572860129436,1
49,8,2,3,2,2,2,6,4,10,3,10,7,1,False,True,False,False,True,False,True,False,True,False,0.1,1.0,0.71117560630698,-0.3355387512398422,-1.3903733497364552,0
37,2,4,4,2,1,3,1,3,7,3,0,0,0,False,True,False,False,True,False,False,True,False,True,0.0,0.0,-2.4779513766481642,1.6805477439310514,0.46410678729941746,1
33,3,5,4,3,1,3,3,3,8,3,8,7,3,False,True,False,True,False,False,True,False,False,True,0.375,1.0,-0.5607094759406404,-1.6619412550505752,-0.10708205240833828,0
27,2,7,1,3,1,2,4,3,6,3,2,2,2,False,True,False,False,True,False,True,False,True,False,1.0,0.3333333333333333,-1.5618151608256157,-0.22207368132977767,2.145771843715224,0
32,2,8,4,3,1,4,3,3,8,2,7,7,3,False,True,False,False,True,False,False,True,True,False,0.42857142857142855,0.875,-0.6808828532862543,-1.4620707758316676,0.22711615849967112,0
59,3,10,3,4,1,1,2,4,12,2,1,0,0,False,True,False,True,False,False,True,False,False,True,0.0,0.08333333333333333,-1.304912672810064,2.5944433581515223,0.46727097250005406,0
30,24,11,4,3,1,3,2,4,1,3,1,0,0,False,True,False,False,True,True,False,False,True,False,0.0,1.0,-2.722065909370861,-0.6582592277758994,-1.0187133042852436,0
38,23,12,4,2,3,3,8,4,10,3,9,7,1,False,True,False,False,True,False,False,True,True,False,0.1111111111111111,0.9,0.9366061166846291,-0.24323119780600863,-1.5191133905232648,0
36,27,13,3,3,2,3,6,3,17,2,7,7,7,False,True,False,False,True,False,True,False,True,False,1.0,0.4117647058823529,1.3068637963045973,-0.636607821230983,2.2419476722768863,0
35,16,14,1,4,1,2,2,3,6,3,5,4,0,False,True,False,False,True,False,True,False,True,False,0.0,0.8333333333333334,-1.6794677429685894,-0.3053153771665298,-0.9188133218508963,0
29,15,15,4,2,2,3,4,3,10,3,9,5,0,False,True,False,True,False,False,False,True,False,True,0.0,0.9,-0.6215348395912216,-0.6080917094903202,-1.3676023287482204,0
31,26,16,1,3,1,3,3,3,5,2,5,2,4,False,True,False,False,True,True,False,False,True,False,0.8,1.0,-1.229958973471874,-1.6354040028209367,1.2206778602989112,0
34,19,18,2,3,1,4,2,3,3,3,2,2,1,False,True,False,False,True,True,False,False,True,False,0.5,0.6666666666666666,-2.001162071811969,-0.4100112176173987,0.6404646737731592,0
28,24,19,3,2,1,3,1,3,6,3,4,2,0,False,True,False,False,True,False,False,True,False,True,0.0,0.6666666666666666,-2.2910536400898667,-0.27941926651798044,-0.7057207895913742,1
29,21,20,2,4,3,1,9,3,10,3,10,9,8,False,True,False,True,False,True,False,False,True,False,0.8,1.0,1.9704491668448174,-1.932787525893274,0.8719423157768178,0
32,5,21,1,4,1,2,3,3,7,2,6,2,0,False,True,False,False,True,True,False,False,False,True,0.0,0.8571428571428571,-1.742483785238303,-0.1795854492668878,-0.8015444704813979,0
22,16,22,4,4,1,4,3,3,1,2,1,0,0,False,True,False,False,True,True,False,False,False,True,0.0,1.0,-2.8945706553908614,-0.7291669555487909,-0.6936334404713728,0
53,2,23,1,2,4,4,10,3,31,3,25,8,3,False,False,True,True,False,False,True,False,True,False,0.12,0.8064516129032258,4.530145314967037,0.6819278508894677,-1.6653875727887784,0
38,2,24,4,3,1,4,4,3,6,3,3,2,1,False,True,False,False,True,False,False,True,False,True,0.3333333333333333,0.5,-1.449153395203425,0.35438508592437523,0.5421318093010433,0
24,11,26,1,4,2,3,4,3,5,2,4,2,1,False,True,False,True,False,True,False,False,True,False,0.25,0.8,-1.5535554361783825,-0.391904977970079,-0.2285422750552918,0
36,9,27,3,2,1,1,4,4,10,3,5,3,0,False,False,True,False,True,False,False,True,True,False,0.0,0.5,-1.2552866699604102,0.5062829303708456,-0.8221678210102494,1
34,7,28,1,3,3,2,9,3,13,3,12,6,2,False,True,False,True,False,False,False,True,True,False,0.16666666666666666,0.9230769230769231,1.2980766434491369,-0.20171901440148043,-1.148116386355207,0
21,15,30,3,3,1,4,1,3,0,3,0,0,0,False,True,False,False,True,False,False,True,True,False,0.0,0.0,-3.394234304590866,0.8931814695869768,0.18193014670632915,0
34,6,31,2,3,1,1,3,3,8,3,4,2,1,False,True,False,False,True,False,False,True,True,False,0.25,0.5,-1.5601740852244772,0.2936059004314958,0.2892655456760145,1
53,5,32,3,3,5,3,10,3,26,2,14,13,4,False,True,False,True,False,True,False,False,True,False,0.2857142857142857,0.5384615384615384,4.501787610303986,1.0341882865751304,-0.5042954670390172,0
32,16,33,2,1,1,1,4,4,10,3,10,2,6,False,True,False,True,False,False,False,True,False,True,0.6,1.0,-0.2764172796506261,-1.81875785603429,0.43999816320671653,1
42,8,35,3,3,2,2,7,3,10,3,9,7,4,False,False,True,False,True,False,True,False,True,False,0.4444444444444444,0.9,0.9524621261164313,-0.7495497090785164,0.14018376684883865,0
44,7,36,1,2,3,4,9,3,24,3,22,6,5,False,True,False,True,False,False,True,False,True,False,0.22727272727272727,0.9166666666666666,3.2084588777980825,-0.349630737079578,-1.0790111998664338,0
46,2,38,2,3,5,1,10,3,22,2,2,2,2,False,False,True,True,False,False,False,True,True,False,1.0,0.09090909090909091,2.2128911630915282,2.7019795862131195,2.374847436934082,0
33,2,39,3,3,1,4,2,3,7,3,1,1,0,False,True,False,False,True,False,False,True,True,False,0.0,0.14285714285714285,-2.3152121822011815,1.2653807559460748,0.09618328530684211,0
44,10,40,4,3,2,4,7,3,9,4,4,2,1,False,True,False,False,True,False,True,False,False,True,0.25,0.4444444444444444,-0.24321286605099648,1.190749025762641,0.1682629266885845,0
30,9,41,4,2,1,3,1,3,10,3,10,0,1,False,True,False,False,True,False,False,True,True,False,0.1,1.0,-1.6475497549394285,-0.9534302872904749,-0.7013809356633468,0
39,5,42,4,3,2,4,1,3,19,4,1,0,0,False,False,True,False,True,False,True,False,True,False,0.0,0.05263157894736842,-1.3031230505696931,2.193768302243522,0.19687500866103116,1
24,1,45,2,3,1,4,1,3,6,2,2,0,2,False,True,False,False,True,False,True,False,False,True,1.0,0.3333333333333333,-2.2940677382415444,-0.4156944729653788,2.37938830135165,1
43,2,46,4,4,1,3,2,3,6,2,5,3,1,False,True,False,True,False,True,False,False,True,False,0.2,0.8333333333333334,-1.3732733746129695,-0.2232673959053107,0.08065409643993293,0
