Age,Department,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition
41,Sales,1,1,2,Female,3,2,4,Single,7,Yes,3,8,1,6,4,0,1
49,Other,8,2,3,Male,2,2,2,Married,6,No,4,10,3,10,7,1,0
37,Other,2,4,4,Male,2,1,3,Single,1,Yes,3,7,3,0,0,0,1
33,Other,3,5,4,Female,3,1,3,Married,3,Yes,3,8,3,8,7,3,0
27,Other,2,7,1,Male,3,1,2,Married,4,No,3,6,3,2,2,2,0
32,Other,2,8,4,Male,3,1,4,Single,3,No,3,8,2,7,7,3,0
59,Other,3,10,3,Female,4,1,1,Married,2,Yes,4,12,2,1,0,0,0
30,Other,24,11,4,Male,3,1,3,Divorced,2,No,4,1,3,1,0,0,0
38,Other,23,12,4,Male,2,3,3,Single,8,No,4,10,3,9,7,1,0
36,Other,27,13,3,Male,3,2,3,Married,6,No,3,17,2,7,7,7,0
35,Other,16,14,1,Male,4,1,2,Married,2,No,3,6,3,5,4,0,0
29,Other,15,15,4,Female,2,2,3,Single,4,Yes,3,10,3,9,5,0,0
31,Other,26,16,1,Male,3,1,3,Divorced,3,No,3,5,2,5,2,4,0
34,Other,19,18,2,Male,3,1,4,Divorced,2,No,3,3,3,2,2,1,0
28,Other,24,19,3,Male,2,1,3,Single,1,Yes,3,6,3,4,2,0,1
29,Other,21,20,2,Female,4,3,1,Divorced,9,No,3,10,3,10,9,8,0
32,Other,5,21,1,Male,4,1,2,Divorced,3,Yes,3,7,2,6,2,0,0
22,Other,16,22,4,Male,4,1,4,Divorced,3,Yes,3,1,2,1,0,0,0
53,Sales,2,23,1,Female,2,4,4,Married,10,No,3,31,3,25,8,3,0
38,Other,2,24,4,Male,3,1,4,Single,4,Yes,3,6,3,3,2,1,0
24,Other,11,26,1,Female,4,2,3,Divorced,4,No,3,5,2,4,2,1,0
36,Sales,9,27,3,Male,2,1,1,Single,4,No,4,10,3,5,3,0,1
34,Other,7,28,1,Female,3,3,2,Single,9,No,3,13,3,12,6,2,0
21,Other,15,30,3,Male,3,1,4,Single,1,No,3,0,3,0,0,0,0
34,Other,6,31,2,Male,3,1,1,Single,3,No,3,8,3,4,2,1,1
53,Other,5,32,3,Female,3,5,3,Divorced,10,No,3,26,2,14,13,4,0
32,Other,16,33,2,Female,1,1,1,Single,4,Yes,4,10,3,10,2,6,1
42,Sales,8,35,3,Male,3,2,2,Married,7,No,3,10,3,9,7,4,0
44,Other,7,36,1,Female,2,3,4,Married,9,No,3,24,3,22,6,5,0
46,Sales,2,38,2,Female,3,5,1,Single,10,No,3,22,2,2,2,2,0
33,Other,2,39,3,Male,3,1,4,Single,2,No,3,7,3,1,1,0,0
