Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,7,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,1
49,Travel_Frequently,279,Other,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,6,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,0
37,Travel_Rarely,1373,Other,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,1,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,1
33,Travel_Frequently,1392,Other,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,3,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,0
27,Travel_Rarely,591,Other,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,4,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,0
32,Travel_Frequently,1005,Other,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,0
59,Travel_Rarely,1324,Other,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,0
30,Travel_Rarely,1358,Other,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,0
38,Travel_Frequently,216,Other,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,8,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,0
36,Travel_Rarely,1299,Other,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,6,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,0
35,Travel_Rarely,809,Other,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,0
29,Travel_Rarely,153,Other,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,0
31,Travel_Rarely,670,Other,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,3,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,0
34,Travel_Rarely,1346,Other,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,0
28,Travel_Rarely,103,Other,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,1,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,1
29,Travel_Rarely,1389,Other,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,0
32,Travel_Rarely,334,Other,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,0
22,Non-Travel,1123,Other,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,3,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,0
53,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,10,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,0
38,Travel_Rarely,371,Other,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,4,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,0
24,Non-Travel,673,Other,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,0
36,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,4,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,1
34,Travel_Rarely,419,Other,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,9,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,0
21,Travel_Rarely,391,Other,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,0
34,Travel_Rarely,699,Other,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,3,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,1
53,Travel_Rarely,1282,Other,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,10,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,0
32,Travel_Frequently,1125,Other,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,4,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,1
42,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,7,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,0
44,Travel_Rarely,477,Other,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,9,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,0
46,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,10,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,0
33,Travel_Rarely,924,Other,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,0
44,Travel_Rarely,1459,Other,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,7,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,0
30,Travel_Rarely,125,Other,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,1,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,0
39,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,1,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,1
24,Travel_Rarely,813,Other,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,1,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,1
43,Travel_Rarely,1273,Other,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,0
50,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,1
35,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,1,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,0
36,Travel_Rarely,852,Other,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,4,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,0
33,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,6,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,0
35,Travel_Rarely,464,Other,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,0
27,Travel_Rarely,1240,Other,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,0
26,Travel_Rarely,1357,Other,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,1,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,1
27,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,0
30,Travel_Frequently,721,Other,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,0
41,Travel_Rarely,1360,Other,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,10,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,1
34,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,5,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,0
37,Travel_Rarely,408,Other,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,0
46,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,7,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,0
35,Travel_Rarely,1229,Other,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,1,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,0
48,Travel_Rarely,626,Other,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,6,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,1
28,Travel_Rarely,1434,Other,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,4,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,1
44,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,6,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,0
35,Non-Travel,1097,Other,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,0
