Age,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Other,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,StagnationScore,TenureRatio,PCA1,PCA2,PCA3,Attrition
41,1102,1,2,1,2,94,3,4,7,19479,8,11,3,1,0,8,0,1,6,4,0,5,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,0.0,0.75,-0.343954528868539,1.2306074616628855,-0.8193754662943099,1
49,279,8,1,2,3,61,2,2,6,24907,1,23,4,4,1,10,3,3,10,7,1,7,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,0.1,1.0,0.9672931874142047,-1.0081393004763268,3.1358940067841803,0
37,1373,2,2,4,4,92,2,3,1,2396,6,15,3,2,0,7,3,3,0,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,0.0,0.0,-2.905954386141769,1.6618221359018917,-0.19996026738583553,1
33,1392,3,4,5,4,56,3,3,3,23159,1,11,3,3,0,8,3,3,8,7,3,0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,0.375,1.0,-0.29340127831097607,-1.0465680057700124,-1.2813760089442208,0
27,591,2,1,7,1,40,3,2,4,16632,9,12,3,4,1,6,3,3,2,2,2,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,1.0,0.3333333333333333,-1.4855579140560897,0.8759017511137379,-1.0835567602148937,0
32,1005,2,2,8,4,79,3,4,3,11864,0,13,3,3,0,8,2,2,7,7,3,6,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,0.42857142857142855,0.875,0.059695326835293216,-1.755561730451765,-0.8568445713516226,0
59,1324,3,3,10,3,81,4,1,2,9964,4,20,4,1,3,12,3,2,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,0.0,0.08333333333333333,-1.7391813281576505,2.638572591739395,2.8320617058537962,0
30,1358,24,1,11,4,67,3,3,2,13335,1,22,4,2,1,1,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.0,1.0,-2.824367379234051,-1.703048479780313,3.057107231190369,0
38,216,23,3,12,4,44,2,3,8,8787,0,21,4,2,0,10,2,3,9,7,1,8,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,0.1111111111111111,0.9,1.048367681600021,-1.286238685634016,2.9117470516504445,0
36,1299,27,3,13,3,94,3,3,6,16577,6,13,3,2,2,17,3,2,7,7,7,7,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,1.0,0.4117647058823529,1.6779688217206516,0.8211560880333288,-0.5469718266353586,0
