Age,Department,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition
41.0,Sales,1,1,2,Female,3,2,4,Single,7,Yes,3,8,1,6.133017565731917,4,0,1
49.0,Other,8,2,3,Male,2,2,2,Married,6,No,4,10,3,9.708272564917278,7,1,0
37.0,Other,2,4,4,Male,2,1,3,Single,1,Yes,3,7,3,0.0,0,0,1
33.0,Other,3,5,4,Female,3,1,3,Married,3,Yes,3,8,3,6.950551831875917,7,3,0
27.0,Other,2,7,1,Male,3,1,2,Married,3,No,3,6,3,1.5455937446491934,2,2,0
32.0,Other,2,8,4,Male,3,1,4,Single,3,No,3,8,2,6.80760824157985,7,3,0
59.0,Other,3,10,3,Female,4,1,1,Married,2,Yes,4,12,2,0.3115364505531675,0,0,0
30.0,Other,24,11,4,Male,3,1,3,Divorced,2,No,4,1,3,1.125941726175335,0,0,0
38.0,Other,23,12,4,Male,2,3,3,Single,8,No,4,10,3,9.328318647072583,7,1,0
36.0,Other,27,13,3,Male,3,2,3,Married,6,No,3,17,2,7.036173129502306,7,7,0
35.0,Other,16,14,1,Male,4,1,2,Married,2,No,3,6,3,3.8840966966578456,4,0,0
29.0,Other,15,15,4,Female,2,2,3,Single,4,Yes,3,10,3,9.070022646873088,5,0,0
31.0,Other,26,16,1,Male,3,1,3,Divorced,3,No,3,5,2,4.472130001956341,2,4,0
34.0,Other,19,18,2,Male,3,1,4,Divorced,2,No,3,3,3,1.5757871434499433,2,1,0
28.0,Other,24,19,3,Male,2,1,3,Single,1,Yes,3,6,3,3.824457118551217,2,0,1
29.0,Other,21,20,2,Female,4,3,1,Divorced,9,No,3,10,3,9.679241256948858,9,8,0
32.0,Other,5,21,1,Male,4,1,2,Divorced,3,Yes,3,7,2,5.696886437402766,2,0,0
22.0,Other,16,22,4,Male,4,1,4,Divorced,3,Yes,3,1,2,0.1097601199906982,0,0,0
53.0,Sales,2,23,1,Female,2,4,4,Married,10,No,3,31,3,23.86566976532804,8,3,0
38.0,Other,2,24,4,Male,3,1,4,Single,4,Yes,3,6,3,2.990261063035045,2,1,0
24.0,Other,11,26,1,Female,4,2,3,Divorced,4,No,3,5,2,3.259243342363616,2,1,0
36.0,Sales,9,27,3,Male,2,1,1,Single,3,No,4,10,3,4.936438586450098,3,0,1
34.0,Other,7,28,1,Female,3,3,2,Single,5,No,3,13,3,12.105762139515388,6,2,0
21.0,Other,15,30,3,Male,3,1,4,Single,1,No,3,0,3,0.0,0,0,0
34.0,Other,6,31,2,Male,3,1,1,Single,3,No,3,8,3,4.701585218695829,2,1,1
