Age,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,MaritalStatus_Single,OverTime_No,OverTime_Yes,WorkLifeRatio,ExperienceRatio,CommuteSatisfactionRatio,StagnationScore,SatisfactionIndex,JobSatisfaction_WorkLifeBalance,PCA1,PCA2,Attrition
41.0,2.0,3.0,2.0,4.0,7.0,8.0,6.133017565731917,4.0,1.0,0.0,1.0,0.34782608695652173,0.1951219512195122,0.25,0.13359549515634464,0.5,4.0,-0.8148127742206882,-0.35000045463738433,1
49.0,3.0,2.0,2.0,2.0,6.0,10.0,9.708272564917278,7.0,0.0,1.0,0.0,0.3225806451612903,0.20408163265306123,4.0,0.2208108289465052,0.5199999999999999,6.0,0.20466985075023755,0.651472262754432,0
37.0,4.0,2.0,1.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.3684210526315789,0.1891891891891892,0.6666666666666666,0.0,0.66,9.0,-2.9957801643593434,-0.956613018555852,1
33.0,4.0,3.0,1.0,3.0,3.0,8.0,6.950551831875917,7.0,0.0,0.0,1.0,0.5333333333333333,0.24242424242424243,1.0,0.1794105492811472,0.66,9.0,-0.6397954449034503,-1.0251129664742167,0
27.0,1.0,3.0,1.0,2.0,3.0,6.0,1.5455937446491934,2.0,0.0,1.0,0.0,0.6666666666666666,0.2222222222222222,1.0,0.05233880102353405,0.4,6.0,-1.9102785898527699,0.5073064561712004,0
32.0,4.0,3.0,1.0,4.0,3.0,8.0,6.80760824157985,7.0,1.0,1.0,0.0,0.5714285714285714,0.25,0.5,0.1762968096708564,0.6799999999999999,8.0,-0.6516123987266347,-1.428125322769924,0
59.0,3.0,4.0,1.0,1.0,2.0,12.0,0.3115364505531675,0.0,0.0,0.0,1.0,0.2926829268292683,0.2033898305084746,3.0,0.006786197157407548,0.38,2.0,-2.2941368887279334,2.81349993765702,0
30.0,4.0,3.0,1.0,3.0,2.0,1.0,1.125941726175335,0.0,0.0,1.0,0.0,0.08333333333333333,0.03333333333333333,8.0,0.024526383760264354,0.66,9.0,-3.6118615916485224,-0.23289665023931722,0
38.0,4.0,2.0,3.0,3.0,8.0,10.0,9.328318647072583,7.0,1.0,1.0,0.0,0.5,0.2631578947368421,7.666666666666667,0.21253429439446408,0.66,9.0,0.7433393943383498,-0.3089998653162683,0
36.0,3.0,3.0,2.0,3.0,6.0,17.0,7.036173129502306,7.0,0.0,1.0,0.0,0.9444444444444444,0.4722222222222222,9.0,0.21861791595091437,0.54,6.0,1.8477615194259551,0.8757522015227487,0
35.0,1.0,4.0,1.0,2.0,2.0,6.0,3.8840966966578456,4.0,0.0,1.0,0.0,0.35294117647058826,0.17142857142857143,8.0,0.08460726157453977,0.4,6.0,-2.1350842897632663,1.122898373138692,0
29.0,4.0,2.0,2.0,3.0,4.0,10.0,9.070022646873088,5.0,1.0,0.0,1.0,0.9090909090909091,0.3448275862068966,5.0,0.19757226415895052,0.66,9.0,0.06929829107993253,-0.6334576144069732,0
31.0,1.0,3.0,1.0,3.0,3.0,5.0,4.472130001956341,2.0,0.0,1.0,0.0,0.38461538461538464,0.16129032258064516,8.666666666666666,0.13475866683837187,0.42000000000000004,6.0,-1.473422715427871,0.8328357154838386,0
34.0,2.0,3.0,1.0,4.0,2.0,3.0,1.5757871434499433,2.0,0.0,1.0,0.0,0.1875,0.08823529411764706,4.75,0.04366093412095142,0.62,12.0,-2.9278189654609563,-1.8399565482494389,0
28.0,3.0,2.0,1.0,3.0,1.0,6.0,3.824457118551217,2.0,1.0,0.0,1.0,0.6,0.21428571428571427,8.0,0.08330813290212422,0.6,9.0,-2.219333167115563,-0.24363787733013753,1
29.0,2.0,4.0,3.0,1.0,9.0,10.0,9.679241256948858,9.0,0.0,1.0,0.0,0.9090909090909091,0.3448275862068966,21.0,0.28552742713850615,0.38,3.0,2.3243270020250533,3.414487429807415,0
32.0,1.0,4.0,1.0,2.0,3.0,7.0,5.696886437402766,2.0,0.0,0.0,1.0,0.5,0.21875,2.5,0.12409525267085376,0.34,4.0,-1.7429587521974454,1.3442457651758566,0
22.0,4.0,4.0,1.0,4.0,3.0,1.0,0.1097601199906982,0.0,0.0,0.0,1.0,0.25,0.045454545454545456,4.0,0.002390904219891499,0.6799999999999999,8.0,-4.331269656176126,-0.6123480871035726,0
53.0,1.0,2.0,4.0,4.0,10.0,31.0,23.86566976532804,8.0,0.0,1.0,0.0,0.8857142857142857,0.5849056603773585,0.5,0.5478724901981251,0.5599999999999999,12.0,5.476163552783972,-2.4442038722496857,0
38.0,4.0,3.0,1.0,4.0,4.0,6.0,2.990261063035045,2.0,1.0,0.0,1.0,0.3,0.15789473684210525,0.5,0.07447241340458459,0.74,12.0,-2.043330802728639,-2.358768823077111,0
24.0,1.0,4.0,2.0,3.0,4.0,5.0,3.259243342363616,2.0,0.0,1.0,0.0,0.8333333333333334,0.20833333333333334,3.6666666666666665,0.08033165323392528,0.42000000000000004,6.0,-1.4471562045561448,0.2512052834017005,0
36.0,3.0,2.0,1.0,1.0,3.0,10.0,4.936438586450098,3.0,1.0,1.0,0.0,0.5555555555555556,0.2777777777777778,9.0,0.10753042041662303,0.43999999999999995,3.0,-1.3079093542925153,2.4672877392173453,1
34.0,1.0,3.0,3.0,2.0,5.0,13.0,12.105762139515388,6.0,1.0,1.0,0.0,0.8125,0.38235294117647056,3.5,0.28237090357763234,0.4,6.0,1.3574837990644633,0.598068709961984,0
21.0,3.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.75,0.0,0.6799999999999999,12.0,-4.4569583565691735,-1.9687329344331344,0
34.0,2.0,3.0,1.0,1.0,3.0,8.0,4.701585218695829,2.0,1.0,1.0,0.0,0.5,0.23529411764705882,6.0,0.11175018009906683,0.38,3.0,-1.5389144354349307,2.248286578180603,1
53.0,3.0,3.0,5.0,3.0,10.0,26.0,14.366507962142691,13.0,0.0,1.0,0.0,0.7428571428571429,0.49056603773584906,1.6666666666666667,0.3502878592282471,0.54,6.0,4.588448144142148,-0.006873527314102794,0
32.0,2.0,1.0,1.0,1.0,4.0,10.0,9.476941007873611,2.0,1.0,0.0,1.0,0.7142857142857143,0.3125,16.0,0.2624495825296766,0.38,3.0,0.5735124160409364,3.049102490754504,1
42.0,3.0,3.0,2.0,2.0,8.0,10.0,8.455533163107335,7.0,0.0,1.0,0.0,0.4166666666666667,0.23809523809523808,4.0,0.22152912070023145,0.5199999999999999,6.0,0.6665263963861365,0.703516945994413,0
44.0,1.0,2.0,3.0,4.0,9.0,24.0,21.85026916279017,6.0,0.0,1.0,0.0,0.9230769230769231,0.5454545454545454,1.75,0.5226421667307162,0.5599999999999999,12.0,4.4541946495631,-2.2935384105403034,0
46.0,2.0,3.0,5.0,1.0,10.0,22.0,1.9167316500109468,2.0,1.0,1.0,0.0,0.7857142857142857,0.4782608695652174,2.0,0.060423296413720455,0.32,2.0,1.8401817884880363,2.6542730456496164,0
33.0,3.0,3.0,1.0,4.0,2.0,7.0,0.4153300503696607,1.0,1.0,1.0,0.0,0.4666666666666667,0.21212121212121213,0.5,0.009047132694103517,0.6799999999999999,12.0,-2.762447861382774,-2.3033703770556593,0
44.0,4.0,3.0,2.0,4.0,7.0,9.0,3.8660468902137297,2.0,0.0,0.0,1.0,0.34615384615384615,0.20454545454545456,2.5,0.09354965229699957,0.8,16.0,-0.9107870653066393,-3.1343288846324895,0
30.0,4.0,2.0,1.0,3.0,1.0,10.0,10.096357782946953,0.0,1.0,1.0,0.0,0.8333333333333334,0.3333333333333333,3.0,0.22926448757537052,0.66,9.0,-0.6780908855127038,-0.8315320258894946,0
39.0,4.0,3.0,2.0,4.0,1.0,19.0,0.0,0.0,0.0,1.0,0.0,0.9047619047619048,0.48717948717948717,1.25,0.0,0.8,16.0,-0.8934947239099582,-3.2728548929578998,1
24.0,2.0,3.0,1.0,4.0,1.0,6.0,1.4669565128418345,0.0,0.0,0.0,1.0,1.0,0.25,0.25,0.050625846542573794,0.56,8.0,-1.8844481891820006,-1.3348616097664092,1
43.0,4.0,4.0,1.0,3.0,2.0,6.0,5.009222485963557,3.0,0.0,1.0,0.0,0.24,0.13953488372093023,0.6666666666666666,0.11845144136380155,0.6000000000000001,6.0,-1.9764279394691922,-0.10075885152014864,0
50.0,1.0,2.0,1.0,3.0,2.0,3.0,2.8964183506571395,2.0,0.0,0.0,1.0,0.09375,0.06,1.0,0.06309266842769674,0.4800000000000001,9.0,-2.706737159020799,-0.9776732929994603,1
35.0,4.0,3.0,1.0,4.0,1.0,2.0,1.5390121978507316,2.0,0.0,1.0,0.0,0.11764705882352941,0.05714285714285714,0.5,0.05219543521803757,0.74,12.0,-3.022868896976446,-2.432565771253473,0
36.0,2.0,2.0,1.0,1.0,3.0,6.0,1.0563019955848227,1.0,0.0,0.0,1.0,0.3333333333333333,0.16666666666666666,5.0,0.02300942180946589,0.44000000000000006,4.0,-2.6561426882906507,1.5945739628777822,0
33.0,3.0,4.0,2.0,1.0,6.0,10.0,5.79663319291184,3.0,0.0,1.0,0.0,0.6666666666666666,0.30303030303030304,1.0,0.13560360539377841,0.43999999999999995,3.0,-0.38928442966927945,1.8355902137512436,0
35.0,3.0,3.0,1.0,4.0,1.0,1.0,1.302469921620644,0.0,0.0,1.0,0.0,0.058823529411764705,0.02857142857142857,1.0,0.02837169667952673,0.6799999999999999,12.0,-3.6573757962747107,-2.4258328422191866,0
27.0,4.0,3.0,1.0,1.0,2.0,1.0,0.5007759185777261,0.0,0.0,1.0,0.0,0.1111111111111111,0.037037037037037035,2.0,0.010908399672385515,0.5,3.0,-3.8784791962326177,1.9094462754823893,0
26.0,1.0,1.0,1.0,3.0,1.0,1.0,0.7423653393290109,0.0,1.0,1.0,0.0,0.125,0.038461538461538464,8.333333333333334,0.016170940981600015,0.42000000000000004,6.0,-3.8732778068516924,0.7048437268095231,1
27.0,4.0,3.0,3.0,3.0,8.0,9.0,8.574990056936064,8.0,1.0,1.0,0.0,1.0,0.3333333333333333,2.6666666666666665,0.19612454096785562,0.66,9.0,1.071541887580866,-0.8849788047760794,0
30.0,3.0,3.0,2.0,4.0,4.0,12.0,12.53036886796296,8.0,1.0,1.0,0.0,1.0,0.4,0.25,0.30095567968856274,0.6799999999999999,12.0,1.3840705462346408,-2.552240198849232,0
41.0,2.0,3.0,5.0,3.0,10.0,23.0,21.92761108596541,15.0,0.0,1.0,0.0,1.0,0.5609756097560976,4.0,0.6176826012923932,0.54,9.0,6.953662424824166,-0.7306310938235561,1
34.0,2.0,3.0,2.0,3.0,5.0,10.0,9.40425673339561,5.0,1.0,1.0,0.0,0.625,0.29411764705882354,7.666666666666667,0.2795374404491327,0.54,9.0,1.032804625354159,-0.2290650124778799,0
37.0,2.0,3.0,1.0,2.0,3.0,8.0,1.0308151882983818,0.0,0.0,1.0,0.0,0.42105263157894735,0.21621621621621623,9.5,0.022454242796379198,0.45999999999999996,6.0,-2.437408074973488,1.3752258349857858,0
46.0,1.0,3.0,2.0,4.0,7.0,14.0,8.929311184477669,6.0,1.0,0.0,1.0,0.5,0.30434782608695654,1.25,0.1945071469810828,0.5599999999999999,12.0,0.46881844183690996,-2.27965776290592,0
35.0,4.0,4.0,1.0,4.0,1.0,1.0,0.6678817064550657,0.0,0.0,1.0,0.0,0.058823529411764705,0.02857142857142857,2.0,0.014548464328274047,0.74,12.0,-3.8464927206461272,-2.2106969503037432,0
