Age,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Department_Human Resources,Department_Other,Department_Sales,Gender_Female,Gender_Male,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,StagnationScore,TenureRatio,PCA1,PCA2,PCA3,Attrition
41.0,1,1,2.0,3,2,4.0,7,3,8.0,1.0,6.609025218878255,4,0,False,False,False,True,False,False,False,True,False,True,0.0,0.34843920196938544,-0.2742146047519712,0.4119669366792727,-0.7463163621211083,1
49.0,8,2,3.0,2,2,2.0,6,4,10.0,3.0,9.805270987848258,7,1,False,True,False,False,True,False,True,False,True,False,0.022139310490413053,0.41356063079805305,0.5078555595786575,-0.4895082310291228,-0.9008046446794544,0
37.0,2,4,3.0,2,1,3.0,1,3,7.0,3.0,0.0,0,0,False,True,False,False,True,False,False,True,False,True,0.0,0.0,-2.521338135411635,1.4527756340374676,0.6785804090217687,1
33.0,3,5,3.0,3,1,3.0,3,3,8.0,3.0,8.189113307370427,7,3,False,True,False,True,False,False,False,False,False,True,0.07952580359850389,0.4317441697009189,-0.5658534156008312,-1.6240207011436905,-0.15418262125791174,0
27.0,2,7,3.0,3,1,2.0,4,3,6.0,3.0,2.966919900464059,2,2,False,True,False,False,True,False,True,False,True,False,0.1463348833978684,0.20856150858108943,-1.57363763663776,-0.21027161719384313,1.1291829961728368,0
32.0,2,8,3.0,3,1,4.0,3,3,8.0,2.0,7.040485402972283,7,3,False,True,False,False,True,False,False,True,True,False,0.09250013021160423,0.3711865266123385,-0.6895872143706857,-1.3892478084479902,0.24829426448120231,0
59.0,3,10,3.0,4,1,1.0,2,4,12.0,2.0,0.7917718182243125,0,0,False,True,False,True,False,False,True,False,False,True,0.0,0.02782905005878758,-1.6036545030420766,2.1780709762231925,0.4164478563226654,0
30.0,24,11,3.0,3,1,3.0,3,4,1.0,3.0,1.4287516257940562,0,0,False,False,False,False,True,True,False,False,True,False,0.0,0.6026099883923758,-2.477286695813551,-1.326216171104,-1.3497357039794682,0
38.0,23,12,4.0,2,3,3.0,8,4,10.0,3.0,9.359064139912356,7,1,False,True,False,False,True,False,False,True,True,False,0.023194833970295304,0.3947407954536269,0.8509850829664188,-0.44225631903035406,-1.111481257880709,0
36.0,27,13,3.0,3,2,3.0,6,3,17.0,2.0,6.52426412467598,7,7,False,True,False,False,True,False,True,False,True,False,0.23291110581360003,0.16186844751742546,1.1608540183038567,-0.36353497152850106,1.8059200149962085,0
35.0,16,14,3.0,4,1,2.0,2,3,6.0,3.0,4.7319199499104885,4,0,False,True,False,False,True,False,True,False,True,False,0.0,0.33263330199238716,-1.6739361140134374,-0.3282345782110052,-0.9970465613114466,0
29.0,15,15,4.0,2,2,3.0,4,3,10.0,3.0,9.54826442824744,5,0,False,True,False,True,False,False,False,True,False,True,0.0,0.4027207677244598,-0.5754193521870441,-0.8034562469119889,-1.0425323911810727,0
