Age,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Department_Finance,Department_HR,Department_Hum Res,Department_Human Resource,Department_Human Resources,Department_IT,Department_Marketing,Department_Other,Department_R&D,Department_R&D Lab,Department_ResDev,Department_Research and Dev,Department_Sale,Department_Sale Dept,Department_Sales,Department_Sales ,Department_Saless,Gender_ fem ,Gender_F,Gender_Female,Gender_M,Gender_Mal,Gender_Male,Gender_female,MaritalStatus_DIVORCED,MaritalStatus_Divorced,MaritalStatus_MARRIED,MaritalStatus_Married,MaritalStatus_SINGLE,MaritalStatus_Single,OverTime_ NO ,OverTime_ YES ,OverTime_N,OverTime_No,OverTime_Y,OverTime_Yes,OverTime_no,OverTime_yes,StagnationScore,TenureRatio,PCA1,PCA2,PCA3,Attrition
41.0,1,1,2.0,3,2,4.0,7,3,8.0,1.0,6.609025218878255,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0,0.34843920196938544,-0.2742078382647514,0.41204245832822833,-0.7463848782545409,1
49.0,8,2,3.0,2,2,2.0,6,4,10.0,3.0,9.805270987848258,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.022139310490413053,0.41356063079805305,0.5078534621368742,-0.48951827216547417,-0.9009294940380739,0
37.0,2,4,3.0,2,1,3.0,1,3,7.0,3.0,0.0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0,0.0,-2.5213206147188143,1.4529228538618955,0.6793338654075375,1
33.0,3,5,3.0,3,1,3.0,3,3,8.0,3.0,8.189113307370427,7,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.07952580359850389,0.4317441697009189,-0.5658576267005092,-1.6240552396748507,-0.15431838386268357,0
27.0,2,7,3.0,3,1,2.0,4,3,6.0,3.0,2.966919900464059,2,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.1463348833978684,0.20856150858108943,-1.57364048429114,-0.21027244365521872,1.12884276169476,0
32.0,2,8,3.0,3,1,4.0,3,3,8.0,2.0,7.040485402972283,7,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.09250013021160423,0.3711865266123385,-0.6895887155176843,-1.3892581632639527,0.2482336008840505,0
59.0,3,10,3.0,4,1,1.0,2,4,12.0,2.0,0.7917718182243125,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.02782905005878758,-1.6036422431289064,2.178184399766549,0.4168593308148079,0
30.0,24,11,3.0,3,1,3.0,3,4,1.0,3.0,1.4287516257940562,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0.6026099883923758,-2.477291039865126,-1.3262630874169268,-1.3498139085147283,0
38.0,23,12,4.0,2,3,3.0,8,4,10.0,3.0,9.359064139912356,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.023194833970295304,0.3947407954536269,0.8509841743393527,-0.44226515135693056,-1.1114656259947817,0
36.0,27,13,3.0,3,2,3.0,6,3,17.0,2.0,6.52426412467598,7,7,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.23291110581360003,0.16186844751742546,1.1608537374349552,-0.3635299062981212,1.8057981770267504,0
35.0,16,14,3.0,4,1,2.0,2,3,6.0,3.0,4.7319199499104885,4,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.0,0.33263330199238716,-1.6739391791035265,-0.3282673931884173,-0.9970136760337226,0
29.0,15,15,4.0,2,2,3.0,4,3,10.0,3.0,9.54826442824744,5,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0,0.4027207677244598,-0.5754354147350337,-0.8036034868333048,-1.0428267428190872,0
31.0,26,16,3.0,3,1,3.0,3,3,5.0,2.0,5.214006420494714,2,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.16653753090086498,0.43982624996641506,-1.278344319345433,-1.486072837074251,0.7340684067812643,0
34.0,19,18,3.0,3,1,4.0,2,3,3.0,3.0,0.7651505674662014,2,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.28371140017771834,0.10757348495823388,-1.9637143007638207,-0.046048534954802524,2.26795810781106,0
28.0,24,19,3.0,2,1,3.0,1,3,6.0,3.0,4.240989569501447,2,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.0,0.298123040785004,-2.202122340567141,-0.38024272814636534,-0.6411628943749953,1
29.0,21,20,2.0,4,3,1.0,9,3,10.0,3.0,10.46322817931016,9,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.1659770274507567,0.4413115406379057,2.041658121275302,-1.5514359225715357,0.02952473820856654,0
32.0,5,21,3.0,4,1,2.0,3,3,7.0,2.0,5.581209304118443,2,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.33628682883023037,-1.7239019957219157,-0.1483761222007657,-0.6933022746796602,0
22.0,16,22,3.0,4,1,4.0,3,3,1.0,2.0,1.3385930327910498,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.5645834569070174,-2.688479601310354,-1.2094838251986393,-1.1547276816524963,0
53.0,2,23,1.0,2,4,4.0,10,3,31.0,3.0,25.93615955866036,8,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.02510957009864543,0.3528771715793362,4.506387689331318,0.49966446984051804,-1.4121582468229432,0
