Age,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Department_Human Resources,Department_Other,Department_Sales,Gender_Female,Gender_Male,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,StagnationScore,TenureRatio,PCA1,PCA2,PCA3,Attrition
41.0,1,1,2.0,3,2,4.0,7,3,8.0,1.0,6.483196000986209,4,0.0,False,False,False,True,False,False,False,True,False,True,0.0,0.3167826947000981,-0.3047490322735391,0.11117564052729033,-1.7603754590795269,1
49.0,8,2,3.0,2,2,2.0,5,4,10.0,3.0,9.74452776635652,7,1.0,False,True,False,False,True,False,True,False,True,False,0.0017117728561622963,0.3809106204948022,0.31043144936204464,-0.9988495328505752,0.16959671140001842,0
37.0,2,4,3.0,2,1,3.0,1,3,7.0,3.0,0.6051993165683194,0,0.0,False,True,False,False,True,False,False,True,False,True,0.0,0.03379579547829831,-2.537491914397064,0.9653620336710045,0.061382323480969614,1
33.0,3,5,3.0,3,1,3.0,2,3,8.0,3.0,7.924382017253885,7,3.0,False,True,False,True,False,False,False,False,False,True,0.006314846289685564,0.3872020973724723,-0.6161110137188133,-1.7459771966137698,-0.37429445323535554,0
27.0,2,7,3.0,3,1,2.0,3,3,6.0,3.0,1.8127392204547648,2,2.0,False,True,False,False,True,False,True,False,True,False,0.018403549653859486,0.11809903941551109,-1.8413051423851448,0.26822519054624144,0.6800175063311489,0
32.0,2,8,3.0,3,1,4.0,3,3,8.0,2.0,6.354391943431908,7,3.0,False,True,False,False,True,False,False,True,True,False,0.007875065753762773,0.3104890555082318,-0.6776964383976849,-1.245619425938184,-0.8012641810492099,0
59.0,3,10,3.0,4,1,1.0,2,4,12.0,2.0,0.6172453170963307,0,0.0,False,True,False,True,False,False,True,False,False,True,0.0,0.020106609436770406,-2.0806516169461156,1.5603616486135827,0.7841465244269067,0
30.0,24,11,3.0,3,1,3.0,5,4,1.0,3.0,1.2111568808320323,0,0.0,False,False,False,False,True,True,False,False,True,False,0.0,0.4734375334093534,-2.0792903193513976,-1.0952620175659993,-0.6414724621723481,0
38.0,23,12,4.0,2,3,3.0,8,4,10.0,3.0,8.346042850165313,7,1.0,False,True,False,False,True,False,False,True,True,False,0.0019986020232616595,0.3262442713446484,0.8508299773630699,-0.36242845018803216,-0.34803631703806803,0
100.917558528236,27,13,3.0,3,2,3.0,9,3,17.0,2.0,6.004700225211318,7,7.0,False,False,False,False,True,False,True,False,True,False,0.019445254968056824,0.1380717068933918,1.6330419182873275,1.2806035956246435,0.12391573956002638,0
35.0,16,14,3.0,4,1,2.0,2,3,6.0,3.0,4.571225557169449,4,0.0,False,False,False,False,True,False,True,False,True,False,0.0,0.2978130230546408,-1.6232788490998487,-0.6111911622261514,-0.6515268494594066,0
29.0,15,15,4.0,2,2,3.0,3,3,10.0,3.0,9.420002688311214,5,0.0,False,True,False,True,False,False,False,True,False,True,0.0,0.3682250341012626,-0.4614717491836746,-1.0446820055424653,-0.7984889346764878,0
31.0,26,16,3.0,3,1,3.0,2,3,5.0,2.0,5.890645538513184,2,4.0,False,True,False,False,True,True,False,False,True,False,0.011326716583105821,0.46052707755359107,-1.334283901030705,-1.718454080906124,-0.7726271928952669,0
34.0,19,18,3.0,3,1,4.0,5,3,3.0,3.0,1.6612921661426217,2,1.0,False,True,False,False,False,True,False,False,True,False,0.010040628895096403,0.2164646815119243,-1.7526204589944745,0.05648730123672316,-0.7409985792043579,0
28.0,24,19,3.0,2,1,3.0,1,3,6.0,3.0,3.2255856600879538,2,0.0,False,True,False,False,True,False,False,False,False,True,0.0,0.21014526728961488,-2.0968011827459225,-0.2562236653430169,-0.6391443437869143,1
29.0,21,20,2.0,4,3,1.0,8,3,10.0,3.0,9.828435467947951,9,8.0,False,True,False,True,False,True,False,False,True,False,0.01357727233878989,0.3841905469770103,1.9531996264569678,-1.0441376242336173,0.04072889614430263,0
32.0,5,21,3.0,4,1,2.0,3,3,7.0,2.0,6.091927757204779,2,0.0,False,True,False,False,True,True,False,False,False,True,0.0,0.34018799908512415,-1.5839859700934278,-0.5966890144834851,-0.800892453498138,0
22.0,16,22,3.0,4,1,4.0,2,3,1.0,2.0,1.2889485675494172,0,0.0,False,False,False,False,True,True,False,False,False,True,0.0,0.5038460666572766,-2.5641599397762427,-1.4472190102105902,-1.779600711471969,0
53.0,2,23,1.0,2,4,4.0,9,3,31.0,3.0,26.067320624003703,8,3.0,False,False,True,True,False,False,True,False,True,False,0.0019196930555888032,0.3286979414564409,4.373721567204518,0.23251735442138033,-1.3278729012160182,0
38.0,2,24,3.0,3,1,4.0,3,3,6.0,3.0,3.113424410990393,2,1.0,False,True,False,False,True,False,False,True,False,True,0.005357579283982935,0.20283801888421948,-1.7617111543537467,-0.01408031713615717,-0.5135163510217398,0
75.48248068873356,11,26,1.0,4,2,3.0,5,3,5.0,2.0,4.8277308126894605,2,1.0,False,True,False,True,False,True,False,False,True,False,0.0034551259740342637,0.3774290521891541,-0.6799766180483525,0.25184290030497414,-1.2757093573271854,0
109.49212705779236,9,27,3.0,2,1,1.0,5,4,10.0,3.0,4.768537288968176,3,0.0,False,False,False,False,True,False,False,True,True,False,0.0,0.18640066929304025,-0.7818624126827363,1.062680541809244,1.0313152776079821,1
