Age,Department,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition
41.0,Sale Dept,1,1,2.0,Female,3,2,4.0,Single,7,Yes,3,8.0,1.0,6.609025218878255,4,0.0,1
49.0,Other,8,2,3.0,Male,2,2,2.0,Married,6,No,4,10.0,3.0,9.805270987848258,7,1.5,0
37.0,Other,2,4,3.0,Male,2,1,3.0,Single,1,Yes,3,7.0,3.0,0.0,0,0.0,1
33.0,Other,3,5,3.0,Female,3,1,3.0,MARRIED,3,Yes,3,8.0,3.0,8.189113307370427,7,4.5,0
27.0,Other,2,7,3.0,Male,3,1,2.0,Married,4,No,3,6.0,3.0,2.966919900464059,2,3.0,0
32.0,Other,2,8,3.0,Male,3,1,4.0,Single,3,No,3,8.0,2.0,7.040485402972283,7,4.5,0
59.0,Other,3,10,3.0,Female,4,1,1.0,Married,2,Yes,4,12.0,2.0,0.7917718182243125,0,0.0,0
30.0,R&D Lab,24,11,3.0,Male,3,1,3.0,Divorced,3,No,4,1.0,3.0,1.4287516257940562,0,0.0,0
38.0,Other,23,12,4.0,Male,2,3,3.0,Single,8,No,4,10.0,3.0,9.359064139912356,7,1.5,0
36.0,Other,27,13,3.0,Male,3,2,3.0,Married,6,No,3,17.0,2.0,6.52426412467598,7,10.5,0
35.0,Other,16,14,3.0,Male,4,1,2.0,Married,2,No,3,6.0,3.0,4.7319199499104885,4,0.0,0
29.0,Other,15,15,4.0,Female,2,2,3.0,Single,4,Yes,3,10.0,3.0,9.54826442824744,5,0.0,0
31.0,Other,26,16,3.0,Male,3,1,3.0,Divorced,3,No,3,5.0,2.0,5.214006420494714,2,6.0,0
34.0,Other,19,18,3.0,M,3,1,4.0,Divorced,2,No,3,3.0,3.0,0.7651505674662014,2,1.5,0
28.0,Other,24,19,3.0,Male,2,1,3.0,SINGLE,1,Yes,3,6.0,3.0,4.240989569501447,2,0.0,1
29.0,Other,21,20,2.0,Female,4,3,1.0,Divorced,9,No,3,10.0,3.0,10.46322817931016,9,12.0,0
32.0,Other,5,21,3.0,Male,4,1,2.0,Divorced,3,Yes,3,7.0,2.0,5.581209304118443,2,0.0,0
22.0,R&D Lab,16,22,3.0,Male,4,1,4.0,Divorced,3,Yes,3,1.0,2.0,1.3385930327910498,0,0.0,0
53.0,Sales,2,23,1.0,Female,2,4,4.0,Married,10,No,3,31.0,3.0,25.93615955866036,8,4.5,0
38.0,Other,2,24,3.0,Male,3,1,4.0,Single,4,Yes,3,6.0,3.0,3.198186970032221,2,1.5,0
24.0,Other,11,26,1.0,Female,4,2,3.0,Divorced,5,No,3,5.0,2.0,3.6871918523835343,2,1.5,0
36.0,Sale Dept,9,27,3.0,Male,2,1,1.0,Single,3,No,4,10.0,3.0,4.738769260233709,3,0.0,1
34.0,Other,7,28,1.0,Female,3,3,2.0,Single,9,No,3,13.0,3.0,12.006516949883276,6,3.0,0
