Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44.28,Yes,Travel_Rarely,1102,Sales,1.4,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,7491.25,16557.15,8,Y,Yes,7.7,3,1,80,0,8,0,1,6,4,0.0,5
52.92,No,Travel_Frequently,279,Research & Development,11.2,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,6412.5,21170.95,1,Y,No,16.1,4,4,80,1,10,3,3,10,7,1.5,7
39.96,Yes,Travel_Rarely,1373,Research & Development,2.8,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2612.5,2036.6,6,Y,Yes,10.5,3,2,80,0,7,3,3,0,0,0.0,0
35.64,No,Travel_Frequently,1392,Research & Development,4.2,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,3636.25,19685.15,1,Y,Yes,7.7,3,3,80,0,8,3,3,8,7,4.5,0
29.16,No,Travel_Rarely,591,Research & Development,2.8,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,4335.0,14137.2,9,Y,No,8.4,3,4,80,1,6,3,3,2,2,3.0,2
34.56,No,Travel_Frequently,1005,Research & Development,2.8,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3835.0,10084.4,0,Y,No,9.1,3,3,80,0,8,2,2,7,7,4.5,6
63.72,No,Travel_Rarely,1324,Research & Development,4.2,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,3337.5,8469.4,4,Y,Yes,14.0,4,1,80,3,12,3,2,1,0,0.0,0
32.4,No,Travel_Rarely,1358,Research & Development,33.6,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,3366.25,11334.75,1,Y,No,15.4,4,2,80,1,1,2,3,1,0,0.0,0
41.04,No,Travel_Frequently,216,Research & Development,32.2,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,11907.5,7468.95,0,Y,No,14.7,4,2,80,0,10,2,3,9,7,1.5,8
38.88,No,Travel_Rarely,1299,Research & Development,37.8,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,6546.25,14090.45,6,Y,No,9.1,3,2,80,2,17,3,2,7,7,10.5,7
37.8,No,Travel_Rarely,809,Research & Development,22.4,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,3032.5,14007.15,0,Y,No,9.1,3,3,80,1,6,5,3,5,4,0.0,3
31.32,No,Travel_Rarely,153,Research & Development,21.0,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,5241.25,10779.7,0,Y,Yes,8.4,3,4,80,0,10,3,3,9,5,0.0,8
33.48,No,Travel_Rarely,670,Research & Development,36.4,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,3638.75,12894.5,1,Y,No,11.9,3,4,80,1,5,1,2,5,2,6.0,3
36.72,No,Travel_Rarely,1346,Research & Development,26.6,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,3326.25,7444.3,0,Y,No,7.7,3,3,80,1,3,2,3,2,2,1.5,2
30.24,Yes,Travel_Rarely,103,Research & Development,33.6,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2535.0,11004.95,5,Y,Yes,9.8,3,2,80,0,6,4,3,4,2,0.0,3
31.32,No,Travel_Rarely,1389,Research & Development,29.4,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,12475.0,8665.75,1,Y,No,7.7,3,3,80,1,10,1,3,10,9,12.0,8
34.56,No,Travel_Rarely,334,Research & Development,7.0,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,4122.5,12795.05,0,Y,Yes,8.4,3,4,80,2,7,5,2,6,2,0.0,5
