Age,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Department_Human Resources,Department_Other,Department_Sales,Gender_Female,Gender_Male,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,StagnationScore,TenureRatio,PCA1,PCA2,PCA3,Attrition
44.28,1.4,1,2,3,2,4,7,3,8,1,6,4,0.0,False,False,True,True,False,False,False,True,False,True,0.0,0.75,-0.3100746235434427,0.645123030537104,-0.8255114216097967,1
52.92,11.2,2,3,2,2,2,6,4,10,3,10,7,1.5,False,True,False,False,True,False,True,False,True,False,0.09999999999999999,1.0,0.7111780734009385,-0.3354659423038056,-1.3899733214349448,0
39.96,2.8,4,4,2,1,3,1,3,7,3,0,0,0.0,False,True,False,False,True,False,False,True,False,True,0.0,0.0,-2.4779500418138776,1.680527727446831,0.46439737497872147,1
35.64,4.2,5,4,3,1,3,3,3,8,3,8,7,4.5,False,True,False,True,False,False,True,False,False,True,0.375,1.0,-0.560709646912435,-1.6619265196307442,-0.10712374895533044,0
29.16,2.8,7,1,3,1,2,4,3,6,3,2,2,3.0,False,True,False,False,True,False,True,False,True,False,1.0,0.3333333333333333,-1.5618184752388642,-0.22208194207830356,2.1450420360389106,0
34.56,2.8,8,4,3,1,4,3,3,8,2,7,7,4.5,False,True,False,False,True,False,False,True,True,False,0.4285714285714286,0.875,-0.6808827813558922,-1.4620499630053256,0.22710834473337405,0
63.72,4.2,10,3,4,1,1,2,4,12,2,1,0,0.0,False,True,False,True,False,False,True,False,False,True,0.0,0.08333333333333333,-1.3049097484216752,2.5944670621170096,0.46784147026457473,0
32.4,33.6,11,4,3,1,3,2,4,1,3,1,0,0.0,False,True,False,False,True,True,False,False,True,False,0.0,1.0,-2.7220655713324797,-0.6582789082363745,-1.0185695908244607,0
41.04,32.2,12,4,2,3,3,8,4,10,3,9,7,1.5,False,True,False,False,True,False,False,True,True,False,0.1111111111111111,0.9,0.936607802680255,-0.2431777054992092,-1.5188445557527628,0
38.88,37.8,13,3,3,2,3,6,3,17,2,7,7,10.5,False,True,False,False,True,False,True,False,True,False,1.0,0.4117647058823529,1.3068629672394927,-0.6366046332436441,2.241774417580367,0
37.8,22.4,14,1,4,1,2,2,3,6,3,5,4,0.0,False,True,False,False,True,False,True,False,True,False,0.0,0.8333333333333334,-1.6794677835113283,-0.30531434358622844,-0.9188052802227039,0
31.32,21.0,15,4,2,2,3,4,3,10,3,9,5,0.0,False,True,False,True,False,False,False,True,False,True,0.0,0.9,-0.6215377767442438,-0.6081268641763855,-1.3681498162933456,0
33.48,36.4,16,1,3,1,3,3,3,5,2,5,2,6.0,False,True,False,False,True,True,False,False,True,False,0.7999999999999999,1.0,-1.229961067420073,-1.635428591532966,1.2202899594250463,0
36.72,26.6,18,2,3,1,4,2,3,3,3,2,2,1.5,False,True,False,False,True,True,False,False,True,False,0.5,0.6666666666666666,-2.0011627912163186,-0.4100085120568315,0.6403118347384876,0
30.24,33.6,19,3,2,1,3,1,3,6,3,4,2,0.0,False,True,False,False,True,False,False,True,False,True,0.0,0.6666666666666666,-2.2910556375832227,-0.27946825243479645,-0.7060457319101946,1
31.32,29.4,20,2,4,3,1,9,3,10,3,10,9,12.0,False,True,False,True,False,True,False,False,True,False,0.7999999999999999,1.0,1.9704524818482185,-1.9327373658578701,0.8725587380163455,0
34.56,7.0,21,1,4,1,2,3,3,7,2,6,2,0.0,False,True,False,False,True,True,False,False,False,True,0.0,0.8571428571428571,-1.742484877572684,-0.17961355321500805,-0.8017308534398582,0
23.76,22.4,22,4,4,1,4,3,3,1,2,1,0,0.0,False,True,False,False,True,True,False,False,False,True,0.0,1.0,-2.894570532966141,-0.7291967177800096,-0.6935326936268191,0
57.24,2.8,23,1,2,4,4,10,3,31,3,25,8,4.5,False,False,True,True,False,False,True,False,True,False,0.12,0.8064516129032258,4.530139207481707,0.6818477774637439,-1.6665777617285096,0
41.04,2.8,24,4,3,1,4,4,3,6,3,3,2,1.5,False,True,False,False,True,False,False,True,False,True,0.3333333333333333,0.5,-1.4491517991943816,0.3544079405442964,0.5424032058944053,0
25.92,15.4,26,1,4,2,3,4,3,5,2,4,2,1.5,False,True,False,True,False,True,False,False,True,False,0.25,0.8,-1.553557122955521,-0.3919399127141726,-0.2288306844303319,0
38.88,12.6,27,3,2,1,1,4,4,10,3,5,3,0.0,False,False,True,False,True,False,False,True,True,False,0.0,0.5,-1.2552863902250706,0.5062855970766048,-0.8221319756238692,1
36.72,9.8,28,1,3,3,2,9,3,13,3,12,6,3.0,False,True,False,True,False,False,False,True,True,False,0.16666666666666666,0.9230769230769231,1.2980766231916585,-0.20171002561254345,-1.1481577385330008,0
22.68,21.0,30,3,3,1,4,1,3,0,3,0,0,0.0,False,True,False,False,True,False,False,True,True,False,0.0,0.0,-3.394232568430433,0.8931483502204292,0.18228585114397794,0
36.72,8.4,31,2,3,1,1,3,3,8,3,4,2,1.5,False,True,False,False,True,False,False,True,True,False,0.25,0.5,-1.5601746844025832,0.29359074248601214,0.2891472085059552,1
57.24,7.0,32,3,3,5,3,10,3,26,2,14,13,6.0,False,True,False,True,False,True,False,False,True,False,0.2857142857142857,0.5384615384615384,4.501788376631903,1.0342509491859861,-0.5041949682141293,0
34.56,22.4,33,2,1,1,1,4,4,10,3,10,2,9.0,False,True,False,True,False,False,False,True,False,True,0.6,1.0,-0.2764189604468284,-1.8188166862549735,0.4397323547370778,1
45.36,11.2,35,3,3,2,2,7,3,10,3,9,7,6.0,False,False,True,False,True,False,True,False,True,False,0.4444444444444444,0.9,0.9524654285583278,-0.749484035781266,0.14076065799961407,0
47.52,9.8,36,1,2,3,4,9,3,24,3,22,6,7.5,False,True,False,True,False,False,True,False,True,False,0.22727272727272724,0.9166666666666666,3.2084554785513046,-0.34970890322599596,-1.0796462030852043,0
49.68,2.8,38,2,3,5,1,10,3,22,2,2,2,3.0,False,False,True,True,False,False,False,True,True,False,1.0,0.09090909090909091,2.212885851523511,2.701964988361064,2.3737944039410346,0
35.64,2.8,39,3,3,1,4,2,3,7,3,1,1,0.0,False,True,False,False,True,False,False,True,True,False,0.0,0.14285714285714285,-2.315211078626874,1.2653626819179624,0.09642349201795652,0
47.52,14.0,40,4,3,2,4,7,3,9,4,4,2,1.5,False,True,False,False,True,False,True,False,False,True,0.25,0.4444444444444444,-0.24320981408889566,1.190789315509026,0.16880995823081255,0
32.4,12.6,41,4,2,1,3,1,3,10,3,10,0,1.5,False,True,False,False,True,False,False,True,True,False,0.09999999999999999,1.0,-1.6475561413372715,-0.9535593027746952,-0.7025020518715974,0
42.12,7.0,42,4,3,2,4,1,3,19,4,1,0,0.0,False,False,True,False,True,False,True,False,True,False,0.0,0.05263157894736842,-1.3031285356429123,2.193652909471457,0.19598447975757377,1
25.92,1.4,45,2,3,1,4,1,3,6,2,2,0,3.0,False,True,False,False,True,False,True,False,False,True,1.0,0.3333333333333333,-2.294074508136988,-0.41577557633067813,2.3780739909232342,1
46.44,2.8,46,4,4,1,3,2,3,6,2,5,3,1.5,False,True,False,True,False,True,False,False,True,False,0.19999999999999998,0.8333333333333334,-1.3732725279365956,-0.22325315689176672,0.08081940725097948,0
54.0,4.2,47,1,2,1,3,2,3,3,3,3,2,0.0,False,False,True,False,True,False,True,False,False,True,0.0,1.0,-1.651486582388305,0.056836227470485425,-0.7676165101043052,1
37.8,2.8,49,4,3,1,4,1,3,2,3,2,2,3.0,False,False,True,True,False,False,True,False,True,False,1.0,1.0,-1.8630365796068977,-1.596650041242096,1.7660782747391826,0
38.88,7.0,51,2,2,1,1,4,3,6,4,1,1,0.0,False,True,False,True,False,False,True,False,False,True,0.0,0.16666666666666666,-1.9479902544963024,1.4547347014824712,-0.019631392820332275,0
35.64,1.4,52,3,4,2,1,6,3,10,3,5,3,1.5,False,False,True,True,False,False,True,False,True,False,0.19999999999999998,0.5,-0.5677090352042706,0.6793815900996588,0.03162552934827986,0
37.8,5.6,53,3,3,1,4,1,3,1,3,1,0,0.0,False,True,False,False,True,True,False,False,True,False,0.0,1.0,-2.7228034711872984,-0.401562060076877,-0.6277536052492462,0
29.16,2.8,54,4,3,1,1,2,3,1,3,1,0,0.0,False,True,False,True,False,True,False,False,True,False,0.0,1.0,-2.8335165761694,-0.6087480389762252,-0.570837817979015,0
28.08,35.0,55,1,1,1,3,1,3,1,2,1,0,0.0,False,True,False,False,True,False,False,True,True,False,0.0,1.0,-3.0015802404747474,-0.7815682688529666,-0.8603236187402197,1
29.16,11.2,56,4,3,3,3,8,3,9,3,9,8,1.5,False,False,True,False,True,False,False,True,True,False,0.1111111111111111,1.0,0.5997587807141781,-0.7954959077567642,-1.3908890273586663,0
32.4,1.4,57,3,3,2,4,4,4,12,3,12,8,4.5,False,True,False,True,False,False,False,True,True,False,0.25,1.0,0.37578156399570894,-1.6140582243282238,-1.1601097040611268,0
44.28,16.8,58,2,3,5,3,10,3,23,3,22,15,22.5,False,True,False,True,False,False,True,False,True,False,0.6818181818181818,0.9565217391304348,5.977686078013363,-2.288649879181945,0.5380041134550679,1
36.72,32.2,60,2,3,2,3,5,4,10,3,9,5,12.0,False,False,True,False,True,False,False,True,True,False,0.8888888888888888,0.9,0.7889227453600891,-1.9001303083338272,1.2162524007205022,0
39.96,26.6,61,2,3,1,2,3,4,8,3,1,0,0.0,False,True,False,False,True,False,True,False,True,False,0.0,0.125,-2.066495956272728,1.5682208509720912,-0.1588192399448922,0
49.68,7.0,62,1,3,2,4,7,4,14,3,9,6,0.0,False,False,True,False,True,False,False,True,False,True,0.0,0.6428571428571429,0.6060001752404333,0.7929926217911469,-1.498405534567252,0
37.8,11.2,63,4,4,1,4,1,3,1,3,1,0,0.0,False,True,False,False,True,False,True,False,True,False,0.0,1.0,-2.7272770228733494,-0.3954209034617344,-0.5438553786616771,0
51.84,1.4,64,1,2,3,3,6,3,23,3,1,0,0.0,False,True,False,False,True,False,False,True,False,True,0.0,0.043478260869565216,0.25021508121825564,3.328748620322022,0.06578503335814259,1
30.24,7.0,65,3,3,1,3,4,3,2,2,2,2,3.0,False,True,False,False,True,False,False,True,False,True,1.0,1.0,-1.6993879087089085,-1.5824097472290939,1.675334890282289,1
47.52,1.4,68,2,3,2,1,6,4,9,2,4,3,1.5,False,False,True,True,False,True,False,False,False,True,0.25,0.4444444444444444,-0.32724714989545034,1.0776616911182872,0.06283599042741743,0
37.8,15.4,70,3,2,3,1,9,3,10,3,4,0,3.0,False,True,False,False,True,False,True,False,False,True,0.5,0.4,0.15368680433424614,1.2409993458869137,0.9030991569645522,0
28.08,32.2,72,3,2,2,4,4,3,5,2,2,2,0.0,False,False,True,True,False,False,True,False,False,True,0.0,0.4,-1.8132773907036477,0.6266608411326559,-0.46131160411509775,0
35.64,1.4,73,1,3,3,4,9,3,15,3,15,14,12.0,False,True,False,True,False,False,False,True,False,True,0.5333333333333333,1.0,3.066416572727042,-2.1045505946571708,-0.32791038096685027,0
37.8,25.2,74,2,3,3,1,8,4,9,2,9,8,1.5,False,False,True,False,True,False,True,False,True,False,0.1111111111111111,1.0,0.8545216628549389,-0.5134504502402123,-1.570076077731349,0
37.8,32.2,75,3,3,1,1,4,3,4,3,2,2,3.0,False,True,False,True,False,False,True,False,False,True,1.0,0.5,-1.36309834040237,-0.3740740448056373,2.1776409257526623,0
33.48,9.8,76,4,3,2,4,7,4,10,2,7,7,1.5,False,True,False,False,True,True,False,False,True,False,0.14285714285714285,0.7,0.003919684333196269,-0.2807517852173944,-1.0105869160984156,0
39.96,1.4,77,1,2,2,3,7,3,7,4,7,5,0.0,False,True,False,False,True,True,False,False,True,False,0.0,1.0,-0.23160357385623098,-0.18071633365353432,-1.5679230806893636,0
34.56,1.4,78,1,3,2,4,7,4,9,3,9,8,10.5,False,True,False,False,True,False,True,False,False,True,0.7777777777777778,1.0,1.0740580992265039,-2.055126162667074,0.47797677964689345,0
41.04,40.6,79,4,3,2,4,2,3,10,3,10,3,13.5,False,True,False,True,False,False,False,True,True,False,0.9,1.0,0.5018581985524097,-2.127184959738539,1.843665820746269,0
54.0,9.8,80,2,2,5,3,10,3,29,2,27,3,19.5,False,True,False,True,False,True,False,False,False,True,0.48148148148148145,0.9310344827586207,5.485838490432407,-0.5108493180745236,0.5188883863485132,0
63.72,35.0,81,1,3,3,1,8,3,28,2,21,16,10.5,False,False,True,True,False,False,False,True,True,False,0.3333333333333333,0.75,4.897157541599982,-0.5257861365744853,-0.5341166942414332,0
38.88,11.2,83,3,3,3,3,9,3,17,3,17,14,18.0,False,True,False,True,False,True,False,False,True,False,0.7058823529411764,1.0,3.887000065666201,-2.6336225220961316,0.6225029896548511,0
59.4,11.2,84,4,3,4,3,10,3,21,3,5,0,0.0,False,True,False,True,False,True,False,False,False,True,0.0,0.23809523809523808,1.5773447559045886,3.4532996767860293,-0.18206846057053303,0
38.88,15.4,85,2,2,2,2,7,3,6,3,6,5,0.0,False,True,False,False,True,False,False,True,True,False,0.0,1.0,-0.3903150608204354,-0.22246218514958466,-1.3715144954379552,0
48.6,9.8,86,2,3,3,1,8,3,25,3,1,0,0.0,False,True,False,False,True,True,False,False,True,False,0.0,0.04,0.5416373423856994,3.462895569653207,0.13385847048644514,0
37.8,1.4,88,2,3,1,1,1,3,5,2,3,2,1.5,False,True,False,False,True,False,True,False,True,False,0.3333333333333333,0.6,-2.0199730330662673,-0.08937443069996127,0.6160112975496483,0
38.88,12.6,90,4,2,1,3,4,3,2,2,1,0,0.0,False,True,False,False,True,False,True,False,False,True,0.0,0.5,-2.273864555038186,0.7584460686605434,-0.06383634802840686,1
63.72,1.4,91,1,2,2,3,6,3,20,2,4,3,1.5,False,False,True,True,False,False,False,True,True,False,0.25,0.2,0.7397691933581423,2.4741680497065093,0.6173608220079132,0
31.32,2.8,94,3,3,1,2,3,4,6,3,5,4,0.0,False,True,False,False,True,False,True,False,True,False,0.0,0.8333333333333334,-1.7344084404720863,-0.6122213563322697,-1.23080066273092,0
33.48,1.4,95,3,3,1,2,2,3,1,3,1,1,1.5,False,True,False,False,True,False,False,True,True,False,1.0,1.0,-2.1700518788771834,-1.4082204809035603,1.7038776368766204,0
34.56,1.4,96,2,3,2,2,7,3,10,3,10,4,0.0,False,True,False,False,True,False,True,False,True,False,0.0,1.0,-0.15743439558371158,-0.27292504715148724,-1.4664759581220024,0
38.88,8.4,97,2,4,1,4,3,3,5,3,1,0,0.0,False,True,False,True,False,False,True,False,True,False,0.0,0.2,-2.290066979560275,1.4340605530398354,0.0926255393569355,0
33.48,11.2,98,3,3,2,4,5,4,11,3,11,7,1.5,False,True,False,True,False,False,False,True,True,False,0.0909090909090909,1.0,0.07789257019933173,-1.0779808547631853,-1.6922552964994868,0
37.8,1.4,100,3,2,2,1,5,3,16,3,15,13,3.0,False,False,True,False,True,False,False,True,True,False,0.13333333333333333,0.9375,1.446954645420399,-1.4086108604391192,-1.4440571506019677,0
48.6,8.4,101,4,3,3,1,9,3,17,4,0,0,0.0,False,True,False,False,True,False,True,False,False,True,0.0,0.0,0.19843656886860733,3.34132447681638,0.22023681557018215,0
39.96,9.8,102,1,3,3,3,9,3,16,4,5,2,0.0,False,True,False,False,True,False,False,True,True,False,0.0,0.3125,0.4139583879179071,2.093159470724202,-0.755805812116248,0
49.68,7.0,103,2,3,2,2,6,4,16,3,4,2,0.0,True,False,False,False,True,True,False,False,False,True,0.0,0.25,-0.16070330909691868,2.072292523563304,-0.5173418490049283,0
32.4,1.4,104,4,2,2,4,6,3,10,2,10,8,4.5,False,True,False,False,True,False,True,False,False,True,0.3,1.0,0.4164278256863902,-1.4354879521454025,-0.5691175699240812,0
37.8,1.4,105,2,2,1,3,3,3,6,3,6,4,0.0,False,True,False,False,True,False,False,True,True,False,0.0,1.0,-1.454584326098815,-0.6705823159968433,-1.1651604068275532,0
59.4,1.4,106,1,3,3,4,9,3,24,3,1,0,1.5,False,False,True,False,True,False,True,False,True,False,1.0,0.041666666666666664,1.3755043169041192,3.004389535560412,2.4463616956088217,0
41.04,8.4,107,2,1,2,4,6,3,17,3,13,11,1.5,False,True,False,True,False,True,False,False,False,True,0.07692307692307693,0.7647058823529411,1.2748781527736517,-0.5213342133746206,-1.5550480762005094,0
36.72,1.4,110,1,3,2,2,5,3,5,3,5,2,1.5,False,True,False,False,True,False,True,False,True,False,0.19999999999999998,1.0,-0.9915989826696299,-0.3398705597657582,-0.5384743177452567,0
60.48,9.8,112,4,1,3,4,8,3,37,2,6,4,0.0,False,True,False,False,True,False,False,True,True,False,0.0,0.16216216216216217,2.2745782798805845,3.2865523235524647,-0.30378789159456865,0
24.84,2.8,113,3,3,1,1,2,3,3,3,0,0,0.0,False,False,True,False,True,True,False,False,True,False,0.0,0.0,-3.0258318890378866,1.199253203187435,0.34852922746695236,0
55.08,12.6,116,4,3,1,4,1,4,10,3,4,2,0.0,False,True,False,False,True,False,True,False,True,False,0.0,0.4,-1.3684074414630307,1.1305367199999208,-0.3745163294029538,0
32.4,2.8,117,3,2,2,4,4,3,11,3,11,10,15.0,False,True,False,False,True,False,True,False,True,False,0.909090909090909,1.0,1.3936134681481236,-2.9890703939627126,1.385012570739784,0
49.68,12.6,118,3,2,3,4,8,3,9,3,9,8,6.0,False,False,True,False,True,False,False,True,True,False,0.4444444444444444,1.0,1.6466013938819688,-0.6931000384061645,-0.17105399992438733,1
43.2,1.4,119,3,2,4,2,9,4,22,2,22,3,16.5,False,True,False,False,True,False,True,False,True,False,0.5,1.0,3.751353888139939,-1.1819362030120648,0.22809574547756,0
55.08,29.4,120,3,3,2,4,6,4,11,1,10,7,1.5,False,False,True,False,True,False,False,True,False,True,0.09999999999999999,0.9090909090909091,0.7681427998370153,-0.04470522104551396,-1.1494486720124637,0
32.4,5.6,121,3,2,2,2,6,3,11,2,11,8,3.0,False,False,True,True,False,True,False,False,False,True,0.1818181818181818,1.0,0.40321159842861,-1.2053249587400632,-0.9778365626486637,0
49.68,1.4,124,3,2,3,1,9,3,21,2,10,9,13.5,False,True,False,False,True,False,True,False,False,True,0.9,0.47619047619047616,3.197497379271048,-0.2371874765665605,2.069606775021971,0
34.56,8.4,125,2,3,2,3,6,3,12,3,11,8,7.5,False,False,True,False,True,False,False,True,True,False,0.4545454545454545,0.9166666666666666,0.9188517237847887,-1.4450409156693864,-0.05940381339353477,0
58.32,2.8,126,1,3,3,3,9,3,16,1,4,3,0.0,False,True,False,True,False,False,True,False,True,False,0.0,0.25,0.9258869328494098,2.85861999903195,-0.16980291885707777,0
25.92,4.2,128,1,3,2,3,6,4,4,2,3,2,0.0,False,False,True,True,False,False,True,False,True,False,0.0,0.75,-1.5873198788790686,0.04378365153164912,-1.206715525841421,0
30.24,5.6,129,2,3,2,3,4,3,5,4,5,4,0.0,False,False,True,False,True,False,True,False,True,False,0.0,1.0,-1.2812677993825874,-0.6215267377114932,-1.3680426827961187,0
62.64,14.0,131,4,3,4,3,10,3,38,2,37,10,1.5,False,False,True,False,True,False,False,True,True,False,0.02702702702702703,0.9736842105263158,5.822011610330522,0.33301491576877457,-2.5101269734216642,0
47.52,32.2,132,2,3,2,2,1,3,17,4,3,2,1.5,False,True,False,False,True,False,True,False,True,False,0.3333333333333333,0.17647058823529413,-0.6787273308218966,1.5019445950284274,0.7436240349397862,0
39.96,8.4,133,3,3,1,1,1,4,7,3,3,2,0.0,True,False,False,False,True,True,False,False,False,True,0.0,0.42857142857142855,-2.0472324597710365,0.576684907509413,-0.4510162774434876,1
34.56,1.4,134,4,3,1,1,3,3,1,3,1,0,0.0,False,True,False,False,True,False,False,True,True,False,0.0,1.0,-2.5338589183752833,-0.34626825761654983,-0.5232793073436136,0
21.6,8.4,137,4,2,1,4,3,3,1,3,1,0,1.5,False,True,False,True,False,False,False,True,False,True,1.0,1.0,-2.4819546674857476,-1.7593360492290229,1.5081252324649554,1
36.72,8.4,138,1,3,2,3,5,3,16,3,16,13,3.0,False,True,False,True,False,False,False,True,True,False,0.125,1.0,1.4608965031584857,-1.541382128994402,-1.7420728056572086,0
39.96,2.8,139,3,2,2,4,6,3,17,4,1,0,0.0,False,True,False,False,True,True,False,False,True,False,0.0,0.058823529411764705,-0.7875535485420626,2.4124814974469144,-0.043385484413788894,0
63.72,2.8,140,3,2,5,4,10,4,30,3,3,2,3.0,True,False,False,True,False,False,True,False,True,False,0.6666666666666666,0.1,3.0525573680494835,3.4123883007102918,1.1883426762006517,0
54.0,1.4,141,1,3,5,2,10,3,28,2,8,3,0.0,False,True,False,True,False,False,True,False,False,True,0.0,0.2857142857142857,2.6244198286179765,3.3218119272030915,-0.6585902569263911,0
27.0,7.0,142,3,2,2,3,7,3,6,3,6,4,0.0,False,False,True,False,True,False,False,True,False,True,0.0,1.0,-0.855712109027131,-0.5727359101817857,-1.4197407439479752,1
27.0,9.8,143,4,2,1,4,3,3,2,3,2,2,3.0,False,True,False,False,True,False,True,False,True,False,1.0,1.0,-1.9031536967184748,-1.8737505702991808,1.5340157340358045,0
23.76,21.0,144,2,3,1,4,3,3,1,3,0,0,0.0,False,True,False,True,False,False,False,True,True,False,0.0,0.0,-3.0365462942287853,1.1354742674217448,0.09426924038967653,0
55.08,1.4,145,1,2,3,1,8,4,23,2,13,12,18.0,False,True,False,True,False,False,False,True,True,False,0.923076923076923,0.5652173913043478,4.135333070261919,-1.0053384484280883,1.7554152002634962,0
36.72,9.8,147,1,1,2,3,7,4,9,3,9,7,0.0,False,True,False,False,True,False,False,True,False,True,0.0,1.0,0.09704574796186369,-0.6277232978993779,-2.087747745536869,1
58.32,36.4,148,4,4,4,4,10,3,23,3,5,3,6.0,True,False,False,True,False,False,False,True,False,True,0.7999999999999999,0.21739130434782608,2.6204520598484713,2.1933763038997194,1.879656239631529,0
