Age,Department,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition
44.28,Sale Dept,1.4,1,2.0,Female,3,2,4.0,Single,7,Yes,3,8.0,1.0,6.609025218878255,4,0.0,1
52.92,Other,11.2,2,3.0,Male,2,2,2.0,Married,6,No,4,10.0,3.0,9.805270987848258,7,1.5,0
39.96,Other,2.8,4,3.0,Male,2,1,3.0,Single,1,Yes,3,7.0,3.0,0.0,0,0.0,1
35.64,Other,4.2,5,3.0,Female,3,1,3.0,MARRIED,3,Yes,3,8.0,3.0,8.189113307370427,7,4.5,0
29.16,Other,2.8,7,3.0,Male,3,1,2.0,Married,4,No,3,6.0,3.0,2.966919900464059,2,3.0,0
34.56,Other,2.8,8,3.0,Male,3,1,4.0,Single,3,No,3,8.0,2.0,7.040485402972283,7,4.5,0
63.72,Other,4.2,10,3.0,Female,4,1,1.0,Married,2,Yes,4,12.0,2.0,0.7917718182243125,0,0.0,0
32.4,R&D Lab,33.6,11,3.0,Male,3,1,3.0,Divorced,3,No,4,1.0,3.0,1.4287516257940562,0,0.0,0
41.04,Other,32.2,12,4.0,Male,2,3,3.0,Single,8,No,4,10.0,3.0,9.359064139912356,7,1.5,0
38.88,Other,37.8,13,3.0,Male,3,2,3.0,Married,6,No,3,17.0,2.0,6.52426412467598,7,10.5,0
37.8,Other,22.4,14,3.0,Male,4,1,2.0,Married,2,No,3,6.0,3.0,4.7319199499104885,4,0.0,0
31.32,Other,21.0,15,4.0,Female,2,2,3.0,Single,4,Yes,3,10.0,3.0,9.54826442824744,5,0.0,0
33.48,Other,36.4,16,3.0,Male,3,1,3.0,Divorced,3,No,3,5.0,2.0,5.214006420494714,2,6.0,0
36.72,Other,26.6,18,3.0,M,3,1,4.0,Divorced,2,No,3,3.0,3.0,0.7651505674662014,2,1.5,0
30.24,Other,33.6,19,3.0,Male,2,1,3.0,SINGLE,1,Yes,3,6.0,3.0,4.240989569501447,2,0.0,1
31.32,Other,29.4,20,2.0,Female,4,3,1.0,Divorced,9,No,3,10.0,3.0,10.46322817931016,9,12.0,0
34.56,Other,7.0,21,3.0,Male,4,1,2.0,Divorced,3,Yes,3,7.0,2.0,5.581209304118443,2,0.0,0
23.76,R&D Lab,22.4,22,3.0,Male,4,1,4.0,Divorced,3,Yes,3,1.0,2.0,1.3385930327910498,0,0.0,0
57.24,Sales,2.8,23,1.0,Female,2,4,4.0,Married,10,No,3,31.0,3.0,25.93615955866036,8,4.5,0
41.04,Other,2.8,24,3.0,Male,3,1,4.0,Single,4,Yes,3,6.0,3.0,3.198186970032221,2,1.5,0
25.92,Other,15.4,26,1.0,Female,4,2,3.0,Divorced,5,No,3,5.0,2.0,3.6871918523835343,2,1.5,0
38.88,Sale Dept,12.6,27,3.0,Male,2,1,1.0,Single,3,No,4,10.0,3.0,4.738769260233709,3,0.0,1
36.72,Other,9.8,28,1.0,Female,3,3,2.0,Single,9,No,3,13.0,3.0,12.006516949883276,6,3.0,0
22.68,Other,21.0,30,3.0,Male,3,1,4.0,Single,1,No,3,0.0,3.0,0.1888847959865457,0,0.0,0
36.72,Other,8.4,31,3.0,Male,3,1,1.0,Single,3,No,3,8.0,3.0,4.031412299866592,2,1.5,1
57.24,Other,7.0,32,3.0,Female,3,5,3.0,DIVORCED,10,No,3,26.0,2.0,14.250798182673089,13,6.0,0
34.56,ResDev,22.4,33,3.0,Female,1,1,1.0,Single,4,Yes,4,10.0,3.0,9.926527303539814,2,9.0,1
45.36,Sales,11.2,35,3.0,Male,5,2,2.0,Married,8,No,3,10.0,3.0,9.09031148687011,7,6.0,0
47.52,Other,9.8,36,1.0,Female,2,3,4.0,Married,9,No,3,24.0,3.0,22.482405291164216,6,7.5,0
49.68,Sales,2.8,38,2.0,Female,3,5,1.0,Single,10,No,3,22.0,2.0,1.4675844235684972,2,3.0,0
35.64,Other,2.8,39,3.0,Male,3,1,4.0,Single,2,No,3,7.0,3.0,1.0543558998136928,1,0.0,0
47.52,Other,14.0,40,4.0,Male,3,2,4.0,Married,7,Yes,3,9.0,4.0,4.05288182351388,2,1.5,0
32.4,Other,12.6,41,3.0,Male,2,1,3.0,Single,1,No,3,10.0,3.0,10.460333357856536,0,1.5,0
42.12,Sales,7.0,42,4.0,Male,3,2,4.0,Married,1,No,3,19.0,4.0,0.8866387722253191,0,0.0,1
