Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44.28,Yes,Travel_Rarely,1102,Sale Dept,1.4,2,Life Sciences,1,1,2.0,Female,94,3,2,Sales Executive,4.0,Single,7491.25,16557.15,8,Y,Yes,7.7,3,1,80,0,8.0,0,1.0,6.609025218878255,4,0.0,5
52.92,No,Travel_Frequently,279,Research & Development,11.2,1,Life Sciences,1,2,3.0,Male,61,2,2,Research Scientist,2.0,Married,6412.5,21170.95,1,Y,No,16.1,4,4,80,1,10.0,3,3.0,9.805270987848258,7,1.5,7
39.96,Yes,Travel_Rarely,1373,Research & Development,2.8,2,Other,1,4,,Male,92,2,1,Laboratory Technician,3.0,Single,2612.5,2036.6,6,Y,Yes,10.5,3,2,80,0,7.0,3,3.0,0.0,0,0.0,0
35.64,No,Travel_Frequently,1392,Research & Development,4.2,4,Life Sciences,1,5,,Female,56,3,1,Research Scientist,3.0,MARRIED,3636.25,19685.15,1,Y,Yes,7.7,3,3,80,0,8.0,3,3.0,8.189113307370427,7,4.5,0
29.16,No,Travel_Rarely,591,Research & Development,2.8,1,Medical,1,7,,Male,40,3,1,Laboratory Technician,2.0,Married,4335.0,14137.2,9,Y,No,8.4,3,4,80,1,6.0,3,3.0,2.966919900464059,2,3.0,2
34.56,No,Travel_Frequently,1005,Research & Development,2.8,2,Life Sciences,1,8,,Male,79,3,1,Laboratory Technician,4.0,Single,3835.0,10084.4,0,Y,No,9.1,3,3,80,0,8.0,2,2.0,7.040485402972283,7,4.5,6
63.72,No,Travel_Rarely,1324,Research & Development,4.2,3,Medical,1,10,,Female,81,4,1,Laboratory Technician,1.0,Married,3337.5,8469.4,4,Y,Yes,14.0,4,1,80,3,12.0,3,2.0,0.7917718182243125,0,0.0,0
32.4,No,Travel_Rarely,1358,R&D Lab,33.6,1,Life Sciences,1,11,,Male,67,3,1,Laboratory Technician,3.0,Divorced,4039.5,11334.75,1,Y,No,15.4,4,2,80,1,1.0,2,3.0,1.4287516257940562,0,0.0,0
41.04,No,Travel_Frequently,216,Research & Development,32.2,3,Life Sciences,1,12,4.0,Male,44,2,3,Manufacturing Director,,Single,11907.5,7468.95,0,Y,No,14.7,4,2,80,0,10.0,2,,9.359064139912356,7,1.5,8
38.88,No,Travel_Rarely,1299,Research & Development,37.8,3,Medical,1,13,3.0,Male,94,3,2,Healthcare Representative,3.0,Married,6546.25,14090.45,6,Y,No,9.1,3,2,80,2,17.0,3,2.0,6.52426412467598,7,10.5,7
37.8,No,Travel_Rarely,809,Research & Development,22.4,3,Medical,1,14,,Male,84,4,1,Laboratory Technician,2.0,Married,3032.5,14007.15,0,Y,No,9.1,3,3,80,1,6.0,5,3.0,4.7319199499104885,4,0.0,3
31.32,No,Travel_Rarely,153,Research & Development,21.0,2,Life Sciences,1,15,4.0,Female,49,2,2,Laboratory Technician,3.0,Single,5241.25,10779.7,0,Y,Yes,8.4,3,4,80,0,10.0,3,3.0,9.54826442824744,5,0.0,8
33.48,No,Travel_Rarely,670,Research & Development,36.4,1,Life Sciences,1,16,,Male,31,3,1,Research Scientist,3.0,Divorced,3638.75,12894.5,1,Y,No,11.9,3,4,80,1,5.0,1,2.0,5.214006420494714,2,6.0,3
36.72,No,Travel_Rarely,1346,Research & Development,26.6,2,Medical,1,18,,M,93,3,1,Laboratory Technician,4.0,Divorced,3326.25,7444.3,0,Y,No,7.7,3,3,80,1,3.0,2,3.0,0.7651505674662014,2,1.5,2
30.24,Yes,Travel_Rarely,103,Research & Development,33.6,3,Life Sciences,1,19,,Male,50,2,1,Laboratory Technician,3.0,SINGLE,2535.0,11004.95,5,Y,Yes,9.8,3,2,80,0,6.0,4,3.0,4.240989569501447,2,0.0,3
31.32,No,Travel_Rarely,1389,Research & Development,29.4,4,Life Sciences,1,20,2.0,Female,51,4,3,Manufacturing Director,1.0,Divorced,12475.0,8665.75,1,Y,No,7.7,3,3,80,1,10.0,1,3.0,10.46322817931016,9,12.0,8
34.56,No,Travel_Rarely,334,Research & Development,7.0,2,Life Sciences,1,21,,Male,80,4,1,Research Scientist,2.0,Divorced,4122.5,12795.05,0,Y,Yes,8.4,3,4,80,2,7.0,5,2.0,5.581209304118443,2,0.0,5
23.76,No,Non-Travel,1123,R&D Lab,22.4,2,Medical,1,22,,Male,96,4,1,Laboratory Technician,4.0,Divorced,3668.75,6225.4,1,Y,Yes,9.1,3,2,80,2,1.0,2,2.0,1.3385930327910498,0,0.0,0
57.24,No,Travel_Rarely,1219,Sales,2.8,4,Life Sciences,1,23,1.0,Female,78,2,4,Manager,4.0,Married,19283.75,18717.85,2,Y,No,11.2,3,3,80,0,31.0,3,3.0,25.93615955866036,8,4.5,7
41.04,No,Travel_Rarely,371,Research & Development,2.8,3,Life Sciences,1,24,,Male,45,3,1,Research Scientist,4.0,Single,4930.0,3660.1,5,Y,Yes,7.7,3,3,80,0,6.0,3,3.0,3.198186970032221,2,1.5,2
25.92,No,Non-Travel,673,Research & Development,15.4,2,Other,1,26,1.0,Female,96,4,2,Manufacturing Director,3.0,Divorced,"4.011,00",6997.2,0,Y,No,12.6,3,4,80,1,5.0,5,2.0,3.6871918523835343,2,1.5,3
38.88,Yes,Travel_Rarely,1218,Sale Dept,12.6,4,Life Sciences,1,27,,Male,82,2,1,Sales Representative,1.0,Single,4258.75,5938.1,7,Y,No,16.1,4,2,80,0,10.0,4,3.0,4.738769260233709,3,0.0,3
36.72,No,Travel_Rarely,419,Research & Development,9.8,4,Life Sciences,1,28,1.0,Female,53,3,3,Research Director,2.0,Single,14992.5,18099.05,0,Y,No,7.7,3,3,80,0,13.0,4,3.0,12.006516949883276,6,3.0,11
22.68,No,Travel_Rarely,391,Research & Development,21.0,2,Life Sciences,1,30,,Male,96,3,1,Research Scientist,4.0,Single,1540.0,16388.85,1,Y,No,9.8,3,4,80,0,0.0,6,3.0,0.1888847959865457,0,0.0,0
36.72,Yes,Travel_Rarely,699,Research & Development,8.4,1,Medical,1,31,,Male,83,3,1,Research Scientist,1.0,Single,3700.0,14536.7,2,Y,No,7.7,3,3,80,0,8.0,2,3.0,4.031412299866592,2,1.5,3
57.24,No,Travel_Rarely,1282,Research & Development,7.0,3,Other,1,32,3.0,Female,58,3,5,Manager,3.0,DIVORCED,23867.5,9124.75,4,Y,No,7.7,3,4,80,1,26.0,3,2.0,14.250798182673089,13,6.0,8
34.56,Yes,Travel_Frequently,1125,ResDev,22.4,1,Life Sciences,1,33,,Female,72,1,1,Research Scientist,1.0,Single,4898.75,3978.85,1,Y,Yes,15.4,4,2,80,0,10.0,5,3.0,9.926527303539814,2,9.0,7
45.36,No,Travel_Rarely,691,Sales,11.2,4,Marketing,1,35,3.0,Male,48,5,2,Sales Executive,2.0,Married,8531.25,17997.05,0,Y,No,7.7,3,4,80,1,10.0,2,3.0,9.09031148687011,7,6.0,2
47.52,No,Travel_Rarely,477,Research & Development,9.8,4,Medical,1,36,1.0,Female,42,2,3,Healthcare Representative,4.0,Married,12810.0,1779.9,3,Y,No,9.8,3,4,80,1,24.0,4,3.0,22.482405291164216,6,7.5,17
49.68,No,Travel_Rarely,705,Sales,2.8,4,Marketing,1,38,2.0,Female,83,3,5,Manager,1.0,Single,23683.75,19398.7,3,Y,No,8.4,3,4,80,0,22.0,2,2.0,1.4675844235684972,2,3.0,1
35.64,No,Travel_Rarely,924,Research & Development,2.8,3,Medical,1,39,,Male,78,3,1,Laboratory Technician,4.0,Single,3120.0,5669.5,4,Y,No,7.7,3,4,80,0,7.0,3,3.0,1.0543558998136928,1,0.0,0
